Time,Show,Episode,Youtube Video ID
12:00am,Bonanza,,
12:30am,,,
1:00am,That's Incredible,,
1:30am,Carol Burnett and Friends,,
2:00am,Topper,,
2:30am,Smith and Smith,,
3:00am,,,
3:30am,,,
4:00am,,,
4:30am,,,
5:00am,,,
5:30am,,,
6:00am,The Trouble With Tracy,,
6:30am,Let Me Prove It,,
7:00am,Adventures of the Little Prince,,
7:30am,The Flaxton Boys,,
8:00am,Worzel Gummidge,,
8:30am,Camp Cariboo,,
9:00am,Jonny the Giant Killer (1953),,
9:30am,,,
10:00am,,,
10:30am,Blackstar,,
11:00am,Going Great,,
11:30am,The Forest Rangers,,
12:00pm,Let's Go,,
12:30pm,You Can't Do That On Television,,
1:00pm,Whatever Turns You On,,
1:30pm,Circus,,
2:00pm,The Conquered Dream (1971),,
2:30pm,,,
3:00pm,International Circus Festival of Monte Carlo,,
3:30pm,,,
4:00pm,The Stars Shine for Joe Philion (1989),,
4:30pm,,,
5:00pm,,,
5:30pm,,,
6:00pm,Canada's Search For Missing Kids (1989),,
6:30pm,,,
7:00pm,,,
7:30pm,,,
8:00pm,YTV Achievement Awards (1989),,
8:30pm,,,
9:00pm,,,
9:30pm,,,
10:00pm,YTV Hits,,
10:30pm,,,
11:00pm,YTV Rocks & Showdown Highlights,,
11:30pm,,,
