Time,Show,Episode,Image
12:00am,Chef!,"",""
12:30am,The Young Ones,"",""
1:00am,Bottom,Accident,""
1:30am,The Campbells,Welcome Strangers,""
2:00am,The Cisco Kid,The Faded General,""
2:30am,Flipper,The Lady & the Dolphin (Part 2),""
3:00am,The Adventures of Rocky and Bullwinkle and Friends,"",""
3:30am,Speed Racer,"",""
4:00am,Superhuman Samurai Syber-Squad,"",""
4:30am,The Super Mario Bros. Super Show!,"",""
5:00am,Muppet Babies,"",""
5:30am,Hallo Spencer,(Ancestry implies Grumpo is King Nepomuk XXIII.),""
6:00am,Ballooner Landing,(Fishermen visit as a camping trip begins.),""
6:30am,Poetree and Friends,"",""
7:00am,C.O.P.S.,"",""
7:30am,Tenko and the Guardians of the Magic,"",""
8:00am,Street Sharks,"",""
8:30am,Mighty Hercules,"",""
9:00am,Dragon Ball,"",""
9:30am,Spider-Man,"",""
10:00am,X-Men,"",""
10:30am,Earthworm Jim,"",""
11:00am,Rugrats,"",""
11:30am,What-A-Mess,"",""
12:00pm,It's Alive,"(Fitness benefits from belching; game show for convicts; The Young, The Beautiful, and the Shallow; Al's vault of goo)",""
12:30pm,Hypernauts,The Star Ranger,""
1:00pm,Speed Racer,"",""
1:30pm,Hit List,"",""
2:00pm
2:30pm,The Secret World of Alex Mack,"",""
3:00pm,Sweet Valley High,(Jessica and Lila try to impress a new student.),""
3:30pm,Bump In The Night,"",""
4:00pm,Woody Woodpecker,"",""
4:30pm,Yogi Bear,"",""
5:00pm,"",""
5:30pm,Rocko's Modern Life,"",""
6:00pm,Spider-Man,"",""
6:30pm,Squawk Box,The A+ Team,""
7:00pm,Captain Power and the Soldiers of the Future,"",""
7:30pm,Goosebumps,"",""
8:00pm,Are You Afraid of the Dark?,The Tale of Cutter's Treasure: Part 2,""
8:30pm,Video & Arcade Top 10,"",""
9:00pm,My Bodyguard (1980),""
9:30pm
10:00pm
10:30pm
11:00pm,Super Dave Osborne,(Jeff Dunham; horror house.),""
11:30pm,Dog House,Lost and Found,""
