Time,Show,Episode,Image
12:00am,The Legend of the Hidden City,Episode 8,""
12:30am,MTV's Oddities,"",""
1:00am,The Young Ones,"",""
1:30am,Bottom,Gas,""
2:00am,X-Men,"",""
2:30am,Samurai Pizza Cats,"",""
3:00am,"","",""
3:30am,"","",""
4:00am,"","",""
4:30am,"","",""
5:00am,Kitty Cats,"",""
5:30am,Hallo Spencer,(Grumpowski unveils a statue of a 12th century king),""
6:00am,Ballooner Landing,(Farmer Brown visits),""
6:30am,Poetree and Friends,(Poetree shows Birdie how to catch a fish),""
7:00am,Dino Babies,"",""
7:30am,Madeline,"",""
8:00am,Dragon Flyz,"",""
8:30am,Sky Dancers,"",""
9:00am,Once Upon A Hamster,GP's Amazing Machine,""
9:30am,The Mask,"",""
10:00am,What-A-Mess,"",""
10:30am,Eek! The Cat,"",""
11:00am,Bump In The Night,"",""
11:30am,Stickin' Around,"Didn't'cha, Mr. D? / The Amazing Rubber Guy",""
12:00pm,ReBoot,Racing the Clock,""
12:30pm,YTV News,"",""
1:00pm,Flipper,True Believer,""
1:30pm
2:00pm,Pocketful of Miracles (1961),""
2:30pm
3:00pm
3:30pm
4:00pm
4:30pm
5:00pm,All Dogs Go To Heaven: The Series,"",""
5:30pm,Garfield and Friends,"",""
6:00pm,"It's Your First Kiss, Charlie Brown (1977)",""
6:30pm,My Hometown,"",""
7:00pm,Flipper,Pearl Maker,""
7:30pm
8:00pm,Small Talk,"",""
8:30pm,ReBoot,"Identity Crisis, Part 2",""
9:00pm,Are You Afraid Of The Dark?,The Tale of The Captured Soul,""
9:30pm,They Must Be Mad,"",""
10:00pm,Hit List,"",""
10:30pm
11:00pm,Tarzan,Tarzan and the Fiery End,""
11:30pm,Super Dave Osborne,Star Car,""
