Time,Show,Episode,Youtube Video ID
12:00am,TO BE ANNOUNCED,,
12:30am,,,
1:00am,Chef!,,
1:30am,Rocky & Bullwinkle,,
2:00am,X-Men,,
2:30am,Samurai Pizza Cats,,
3:00am,,,
3:30am,,,
4:00am,,,
4:30am,,,
5:00am,Muppet Babies,,
5:30am,Hallo Spencer,,
6:00am,Ballooner Landing,,
6:30am,Maya The Bee,,
7:00am,Rupert,,
7:30am,Wishbone,,
8:00am,The Flintstones,,
8:30am,Once Upon A Hamster,,
9:00am,Hello Kitty,,
9:30am,Bananas in Pyjamas,,
10:00am,Keroppi and Friends,,
10:30am,Friends of the Forest,,
11:00am,Kitty Cats,,
11:30am,The Adventures of Dudley the Dragon,,
12:00pm,Sailor Moon,Sailor Mercury Moving On?,
12:30pm,Camp Cariboo,,
1:00pm,Tell A Tale Town,,
1:30pm,Lamb Chop's Play-Along,,
2:00pm,Shining Time Station,,
2:30pm,Groundling Marsh,,
3:00pm,Creepy Crawlers,,
3:30pm,Casper,,
4:00pm,Yogi Bear,,
4:30pm,Mr. Magoo,,
5:00pm,What-A-Mess,,
5:30pm,Bump In The Night,,
6:00pm,Video & Arcade Top 10,,
6:30pm,Sailor Moon,,
7:00pm,Dragon Ball,The Emperor’s Quest,
7:30pm,Are You Afraid Of The Dark?,,
8:00pm,Insektors,The Kolor Guitar,
8:30pm,Flash Gordon,Marooned on Mongo!,
9:00pm,Beasties,,
9:30pm,ReBoot,The Crimson Binome,
10:00pm,Rough Guide,Australia,
10:30pm,,,
11:00pm,TO BE ANNOUNCED,,
11:30pm,,,
