Time,Show,Episode
12:00am,Are You Being Served?,Friends and Neighbours
12:30am,Keeping Up Appearances,The Commodore
1:00am,Yes Minister,Death List
1:30am,Fresh Gear,Episode 7
2:00am,Internet Tonight,Episode 30
2:30am,The Anti-Gravity Room,Pot Luck (Part 2)
3:00am,Rocky & Bullwinkle,Episode 99
3:30am,Woody Woodpecker & Friends,Jittery Jester
4:00am,Peter Pan,The Ruby
4:30am,Digimon,Piedmon's Last Jest
5:00am,Dragon Ball Z,Hunt for a Dragonball
5:30am,Pokémon,In the Pink
6:00am,Kitty Cats,Ricky the Turtle
6:25am,Plonsters,Episode 52
6:30am,Once Upon a Hamser,Granny Rabbit
6:54am,Maisy,Mess
7:00am,Kleo the Misfit Unicorn,Daughter Nature
7:24am,The Adventures of Spot,Spot at the Playground
7:30am,Dumb Bunnies,Prince of Monte Carrot
8:00am,Stickin' Around,"The Good, the Bad, and the Bradley / Bye Bye Baby Birdie"
8:30am,Country Mouse & The City Mouse Adventures,Down Under Plunder
8:54am,Wildlife,Episode 14
9:00am,Bananas in Pyjamas,Atchoo!
9:23am,Jellabies,Runaway Trin
9:30am,The Big Comfy Couch,"Lettuce, Turnip & Pea"
9:55am,My Special Book,Hot and Cole Treasure
10:00am,Kitty Cats,Cousin Harold / The Witch's Soup
10:30am,Anthony Ant,The Picnic / Race Against
10:55am,Judy & David's Boom Box,Jet Airplane
11:00am,Kleo the Misfit Unicorn,Daughter Nature
11:24am,The Adventures of Spot,Spot at the Playground
11:30am,Rupert,Rupert and the BIGsmall Machine
11:54am,Jellabies,Sun
12:00pm,Batman,Deep Freeze
12:25pm,Freaky Stories,The Iron Fish Principal
12:30pm,Pinky and the Brain,Brinky
12:56pm,My Special Book,Max & The Magic Troll
1:00pm,Spider,Spider in the Bath
1:05pm,Kipper,Magic Carpet
1:15pm,Crayon Box,Eye on the Prize
1:25pm,Toothbrush Family,Moon Flower
1:30pm,Country Mouse & The City Mouse Adventures,Down Under Plunder
1:55pm,Fuzzpaws,Magic Porridge Pot
2:00pm,Maisy,Meow
2:05pm,Wildlife,Episode 15
2:10pm,Mopatop's Shop,Where's the Blue
2:20pm,Jellabies,Balloon
2:25pm,Nanalan',First Snow
2:30pm,Kipper,Pig's Shop / Water / Party
2:55pm,Animal Stories,Slug
3:00pm,The Magic School Bus,Gains Weight
3:30pm,Uh Oh!,Episode 120
4:00pm,Rugrats,The Seven Voyages of Cynthia / My Friend Barney
4:30pm,Digimon,And So It Begins...
5:00pm,Pokémon,Shell Shock
5:30pm,Dragon Ball Z,Who's Who?
6:00pm,The New Addams Family,"My Son, The Chimp"
6:30pm,Weird-Oh's,Diary / Black-Eyed
7:00pm,Beast Machines,End of the Line
7:30pm,Shadow Raiders,Nor Iron Bars a Cage
8:00pm,Farscape,A Human Reaction
8:30pm,,
9:00pm,System Crash,Growing Up
9:30pm,Boy Meets World,"I Love You, Donna (Part 1)"
10:00pm,Student Bodies,Time To Try
10:30pm,Beast Machines,End of the Line
11:00pm,The New Addams Family,Art and the Addams Family
11:30pm,Beasties,Gorilla Warfare
