Time,Show,Episode,Image
12:00am,Are You Being Served?,The Punch and Judy Affair,""
12:31am,Keeping Up Appearances,What to Wear When Yachting,""
1:08am,Yes Minister,Big Brother,""
1:36am,Fresh Gear,Episode 7,""
2:06am,Internet Tonight,Episode 14,""
2:35am,The Anti-Gravity Room,Episode 28 - Computers,""
3:06am,Rocky and Bullwinkle,Episode 139,""
3:35am,Woody Woodpecker and Friends,Episode 82,""
4:02am,Peter Pan & the Pirates,The Dream,""
4:31am,Digimon,Wizardmon's Gift,""
4:59am,Dragon Ball Z,Bold and Fearless,""
5:28am,Pokémon,Pokémon Fashion Flash,""
6:00am,Kitty Cats,Willie Makes Bubbles / Slither Snake Jake,""
6:25am,Plonsters,Episode 8,""
6:29am,Once Upon A Hamster,Hairbrush Henry,""
6:54am,Maisy,Swing,""
7:00am,Kleo the Misfit Unicorn,For Whom the Bell Trolls,""
7:24am,The Adventures of Spot,Where's Spot?,""
7:30am,Dumb Bunnies,Can It,""
7:57am,Nanalan',Leaf Raking,""
8:00am,The Flintstones,Dino Disappears,""
8:30am,The Country Mouse and the City Mouse Adventures,Panama Mouse,""
8:53am,Wildlife,Episode 22,""
9:00am,Bananas in Pyjamas,Episode 62,""
9:24am,Jellabies,Bouncy Ball,""
9:30am,The Big Comfy Couch,Are You Ready for School?,""
9:56am,My Special Book,Share a Story,""
10:00am,Kitty Cats,A Different Tango / Willie's Guitar,""
10:25am,Nanalan',Flamingo,""
10:30am,Anthony Ant,100 Easy Pieces/Raiders of the Lost World,""
10:56am,Judy & David's Boom Box,Jet Airplane,""
11:00am,Kleo the Misfit Unicorn,For Whom the Bell Trolls,""
11:24am,The Adventures of Spot,"Sweet Dreams, Spot",""
11:30am,Rupert,Rupert and the Lamp,""
11:54am,Jellabies,Caves,""
12:00pm,Batman: The Animated Series,Heart of Steel Part 1,""
12:31pm,Pinky and the Brain,Inherit the Wheeze,""
12:57pm,My Special Book,Jumble,""
1:01pm,Spider!,Monkey Business,""
1:06pm,Kipper,Tiger's Rocket,""
1:15pm,The Crayon Box,Unsportsmanship,""
1:26pm,Toothbrush Family,On Holiday,""
1:33pm,The Country Mouse and the City Mouse Adventures,Panama Mouse,""
2:01pm,Maisy,Bus,""
2:06pm,Wildlife,Episode 22,""
2:12pm,Mopatop's Shop,Wizard's Wand,""
2:21pm,Jellabies,Jelly Lake,""
2:26am,Nanalan',Frog,""
2:30pm,Kipper,Hedgehog Watch/Skates/Cousins,""
2:54pm,Animal Stories,Ross the Rhinoceros,""
2:59pm,The Magic School Bus,Rocks and Rolls,""
3:30pm,Uh Oh!,Episode 101,""
4:00pm,Monster Rancher,Holly's Rescue,""
4:30pm,Digimon,Prophecy,""
5:00pm,Pokémon,The Punchy Pokémon,""
5:30pm,Dragon Ball Z,Embodiment of Fire,""
6:00pm,The New Addams Family,Fester the Tycoon,""
6:30pm,Weird-Oh's,Daddy Dismissed/Rebel Without a Ride,""
7:00pm,Beast Machines,Sparkwar Part 2: The Search,""
7:30pm,Shadow Raiders,Ragnarok Part 1,""
8:00pm,Farscape,Back and Back and Back to the Future,""
8:30pm
9:01pm,gAmerZ,Episode 11,""
9:30pm,Boy Meets World,Home,""
10:00pm,Student Bodies,A New Beginning,""
10:30pm,Beast Machines,Sparkwar Part 2: The Search,""
11:00pm,The New Addams Family,Crisis in the Addams Family,""
11:30pm,Beasties,Changing of the Guard,""
