Time,Show,Episode,Image
12:00am,Are You Being Served?,Do You Take This Man,""
12:30am,Keeping Up Appearances,Hyacinth Is Alarmed,""
1:00am,"Yes, Minister",Skeleton in the Cupboard,""
1:30am,Gamespot Int'l,Episode 15,""
2:00am,Internet Tonight,Episode 8,""
2:30am,Anti-Gravity Room,Pot Luck #3,""
3:00am,Rocky & Bullwinkle,Episode 147,""
3:30am,Woody Woodpecker & Friends,The Mad Hatter,""
4:00am,Peter Pan,The Lost Memories of Pirate Pan,""
4:30am,Digimon,Almost Home Free,""
5:00am,Dragon Ball Z,Princess Snake's Hospitality,""
5:30am,Pokémon,The Evolution Solution,""
6:00am,Surf's Up! Let's Cook!,Episode 10,""
6:25am,Fuzzpaws,Big Head,""
6:30am,Surf Shack,Shark Attack,""
6:55am,Nanalan',Bent Flower,""
7:00am,Secret Files of the Spy Dogs,Twilight / Fetch,""
7:21am,Wildlife,Episode 22,""
7:30am,Monster Rancher,Monol's Story,""
8:00am,Dragon Ball Z,Elite Fighters of the Universe ... The Ginyu Force,""
8:30am,Pokémon,Sheel Shock,""
9:00am,Digimon,The Battle for Earth,""
9:30am,SpongeBob SquarePants,Help Wanted / Blower / Tex,""
10:00am,Catdog,Hail the Great Meow Woof / Battle of the Bands,""
10:30am,Rugrats,Ghost Story/Chuckie's Complaint,""
11:00am,Wild Thornberry's,Valley Girls,""
11:30am,The Flintstones,Deep in the Heart of Texarock,""
12:00pm,The Jetsons,Tv or Not Tv,""
12:30pm,Video & Arcade Top 10,Episode 28,""
1:00pm,YTV's Hit List,Season 9 Episode 34[Note 1],""
1:30pm
2:00pm
2:30pm,Batman Beyond,Blackout,""
3:00pm,Uh Oh!,Episode 118,""
3:30pm,George & Martha,The Mirror / The Special Gift,""
4:00pm,Dexter's Laboratory,Unconventional / Dirty / Ice Cream,""
4:30pm,Powerpuff Girls,Twisted Sister / Cover Up,""
5:00pm,Mona the Vampire,Skeleton Cowboy / Men in Dark Suits,""
5:30pm,Worst Witch,Double Double,""
6:00pm,The New Addams Family,"Gomez, The Cat Burglar",""
6:30pm,Big Wolf on Campus,Hair Today Gone Tomorrow,""
7:00pm,Buffy the Vampire Slayer,Primeval,""
7:30pm
8:00pm,Freaky Stories,Iron Fish / Fields / Last,""
8:30pm,Goosebumps,The Cuckoo Clock of Doom,""
9:00pm,Worst Witch,Dragon's Hoard,""
9:30pm,Monster by Mistake,Entertaining Orville,""
10:00pm,I Was a Sixth Grade Alien,My Bodyguard is a Rat,""
10:30pm,The New Addams Family,"Granny, The Happy Medium",""
11:00pm,Goosebumps,How I Got My Shrunken Head (Part 2),""
11:30pm,Beasties,Code of Hero,""
