Time,Show,Episode,Image
12:00am,Are You Being Served?,Heir Apparent,""
12:30am,Keeping Up Appearances,Episode 6,""
1:00am,"Yes, Minister",Man Overboard,""
1:30am,Daria,Jane's Addition,""
2:00am,Ocean Girl,Episode 63,""
2:30am,Anti-Gravity Room,Monsters and Evil,""
3:00am,Rocky & Bullwinkle,Episode 81,""
3:30am,Woody Woodpecker & Friends,Episode 115,""
4:00am,Histeria,Histeria Goes To The Moon,""
4:30am,Three Friends & Jerry,Tony's Party,""
5:00am,Dr. Xargle,Earthsport,""
5:30am,Fennec,Detective / Chewington,""
6:00am,Kitty Cats,Willie's Treasures / The Giant,""
6:30am,Once Upon a Hamster,Boros,""
6:54am,Maisy,Lemonade,""
7:00am,Panda Bear Daycare,A-Scared,""
7:15am,Ruffus the Dog,Three Musketeers,""
7:30am,Big Comfy Couch,Gimme Gimme Never Get,""
8:00am,Kitty Cats,Charlie's Spaghetti / Where's,""
8:30am,Country Mouse & The City Mouse Adventures,Wild West Mice,""
8:55am,Wildlife,Flytrap Flowers / Lightbugs,""
9:00am,Bananas in Pyjamas,Lost Shoe,""
9:23am,Jellabies,Robot,""
9:30am,Anatole,Tricky You,""
10:00am,Stickin' Around,Mission Implausible / Saturday Afternoon Fever,""
10:30am,Adventures of Dudley the Dragon,Alphabet Dragon,""
11:00am,Panda Bear Daycare,A-Scared,""
11:15am,Ruffus the Dog,Three Musketeers,""
11:30am,Rupert,Rupert and the Deep Freeze,""
12:00pm,Batman,I Am The Night,""
12:25pm,Freaky Stories,Mooching Roomate,""
12:30pm,Pinky and the Brain,Pinky's Turn / Your Friend: Global Domination,""
12:56pm,My Special Book,Skipping Tho A Rhyme,""
1:04pm,Crayon Box,A Cure For The Meanies,""
1:17pm,Dawdle the Donkey,Dawdle & The Soar Bear,""
1:27pm,Toothbrush Family,Shaggy Dog,""
1:30pm,Country Mouse & The City Mouse Adventures,Wild West Mice,""
1:55pm,Fuzzpaws,Follow The Bouncing Ball,""
2:00pm,Maisy,Harvest,""
2:06pm,Wildlife,Episode 14,""
2:12pm,Mopatop's Shop,Magic Rabbit,""
2:22pm,Jellabies,Spring,""
2:26pm,Nanalan',Love,""
2:30pm,Forgotten Toys,Toy Boy / Toy Stars,""
2:52pm,Toothbrush Family,The Toothbrush House,""
3:00pm,Magic School Bus,Rocks and Rolls,""
3:30pm,Uh Oh!,Episode 78,""
4:00pm,Rugrats,Dust Bunnies / Educating Angelica,""
4:30pm,Digimon,Under Pressure,""
5:00pm,Pokemon,Fashion Flash,""
5:30pm,Dragon Ball Z,Frieza's Boast,""
6:00pm,The New Addams Family,My Fair Cousin Itt,""
6:30pm,Mona the Vampire,The X-Change Student / Red Moon Monsters,""
7:00pm,Freaky Stories,The Iron Fist Principal/Field of Seeds/Last Laugh/The Immortal Osgood Toadworthy,""
7:30pm,Roswell Conspiracies,The Partnership,""
8:00pm,Student Bodies,Cody Moves In,""
8:30pm,Boy Meets World,Notorious,""
9:00pm,Opposite Sex,The Dance Episode,""
9:30pm,""
10:00pm,Lassie,Feathered Friends,""
10:30pm,Freaky Stories,The Iron Fist Principal/Field of Seeds/Last Laugh/The Immortal Osgood Toadworthy,""
11:00pm,The New Addams Family,Horseplay,""
11:30pm,Beasties,Better Mousetrap,""
