Time,Show,Episode
12:00am,Are You Being Served?,Hoorah for the Holidays
12:31am,Keeping Up Appearances,The Toy Store
1:07am,"Yes, Prime Minister",A Diplomatic Incident
1:36am,Fresh Gear,Episode 29
2:06am,Internet Tonight,Episode 36
2:35am,The Anti-Gravity Room,Episode 62
3:05am,Rocky and Bullwinkle,Episode 125
3:34am,Woody Woodpecker and Friends,Episode 113
4:02am,Peter Pan & The Pirates,The Pirate Who Came to Dinner
4:31am,Digimon,Departure for a New Continent
4:58am,Dragon Ball Z,Battle in Kami's Lookout
5:28am,Pokémon,The Case of the K-9 Caper!
6:00am,Kitty Cats,Flap's Travel Bag / Ricky's Injury
6:25am,Plonsters,Episode 43
6:29am,Once Upon A Hamster,Dig
6:54am,Maisy,Birthday
7:00am,Panda Bear Daycare,Cuties Get the Cooties
7:14am,Ruffus The Dog,Hansel & Gretel
7:29am,Kleo the Misfit Unicorn,The Tell-Tale Tail
7:53am,Toothbrush Family,Four Wheel Drive
7:59am,The Flintstones,Operation Switchover
8:30am,The Country Mouse and the City Mouse Adventures,Mouse-o-taur
8:54am,Wildlife,Episode 52
9:00am,Bananas in Pyjamas,Episode 4
9:22am,Jellabies,Autumn
9:30am,The Big Comfy Couch,All Aboard for Bed
9:56am,My Special Book,Tic Tac Toe
10:00am,Kitty Cats,Mummy Tango / The Carnival
10:25am,Nanalan',Bubbles
10:29am,Pumper Pups,Hockey / Light / Snow
10:55am,The Adventures of Spot,Where's Spot?
11:00am,Panda Bear Daycare,Cuties Get the Cooties
11:14am,Ruffus The Dog,Hansel & Gretel
11:29am,Rupert,Rupert's Roman Adventure
11:54am,Jellabies,Robot
11:59am,Batman: The Animated Series,Shadow of the Bat Part 1
12:31pm,"Pinky, Elmyra & the Brain","Fun, Time, and Space / Hooray for Meat"
12:57pm,My Special Book,What Am I?
1:01pm,Percy the Park Keeper,The Secret Path
1:26pm,Animal Stories,Peter the Peacock
1:31pm,The Country Mouse and the City Mouse Adventures,Mouse-o-taur
2:00pm,Maisy,Nest
2:06pm,Wildlife,Episode 52
2:11pm,Mopatop's Shop,Ducky Dog
2:20pm,Jellabies,Where's Pepper?
2:25am,Nanalan',Birdy
2:30pm,Judy & David's Boom Box,Apple Juice
2:34pm,Nanalan',Scarf
2:37pm,The Adventures of Spot,"Sweet Dreams, Spot"
2:42pm,Kipper,Cousins
2:51pm,Spider!,C-Rocker
2:59pm,The Magic School Bus,In the Haunted House
3:30pm,Uh Oh!,Episode 122
4:00pm,Monster Rancher,Iron Bird
4:30pm,Digimon,The Dark Network of Etemon
5:00pm,Pokémon,Pokémon Paparazzi
5:30pm,Dragon Ball Z,Fight With Piccolo
6:00pm,Uh Oh!,Episode 115
6:30pm,Sailor Moon,An Unnatural Phenomenon
7:00pm,The Powerpuff Girls,"Monkey See, Doggie Do / Mommy Fearest"
7:30pm,Daria,The Invitation
8:00pm,YTV's Hit List,Mytown All Access [Note 1]
8:30pm,,
9:00pm,,
9:30pm,gAmerZ,Episode 15
10:00pm,System Crash,Growing Up
10:30pm,Student Bodies,Romeo Hurts His Knee
11:00pm,Radio Active,The Replacement
11:30pm,Beasties,The Trigger Part 1
