Time,Show,Episode,Youtube Video ID
12:00am,Are You Being Served?,Shedding the Load,
12:30am,Keeping Up Appearances,A Riverside Picnic,
1:00am,"Yes, Minister",Moral Dimension,
1:30am,"Wolves, Witches and Giants","Magic Tales of Wolves, Witches and Giants",
2:00am,Ocean Girl,Operation Sphinx,
2:30am,Anti-Gravity Room,Bad Ideas,
3:00am,Rocky & Bullwinkle,Episode 148,
3:30am,Woody Woodpecker & Friends,Sleep Happy / Flea / Egg,
4:00am,Peter Pan,The Great Race,
4:30am,Hurricanes,Shootout,
5:00am,Dragon Ball Z,Elite Fighters of the Universe ... The Ginyu Force,
5:30am,Pokémon,Sheel Shock,
6:00am,Dog City,Much Ado About Mad Dog,
6:25am,Wildlife,Episode 23,
6:30am,Pippi Longstocking,Pippi Enters a Horse Show,
6:55am,Maisy,Pool,
7:00am,Anthony Ant,Dances With / Kid For A,
7:25am,Animal Stories,Melvin the Moose,
7:30am,Fuzzpaws,"Planes, Trains and Fuzzpawmobiles",
8:00am,Tiny Toon Adventures,Who Bopped Bugs Bunny?,
8:30am,Peanuts,"You're the Greatest, Charlie Brown",
9:00am,The Flintstones,The Rolls Rock Caper,
9:30am,The Jetsons,Private Property,
10:00am,Rocky & Bullwinkle,Episode 95,
10:30am,Snooper & Blabber,Gopher / Monkey / Impossible,
11:00am,Garfield and Friends,First Class / Hamelot / How To Be Funny,
11:30am,Woody Woodpecker,Pecking Order / Chilly on Ice / Just Say Uncle,
12:00pm,Pippi Longstocking,Pippi Enters a Horse Show,
12:30pm,CatDog,Adventures in Greaser Sitting / The Cat Club / Cat Diggety Dog,
1:00pm,Rocko's Modern Life,The Emperor's New Joe / Schnit-Heads,
1:30pm,Yaa! To The M@x,Bending the Rules,
2:00pm,Stickin Around,Battle / Scarlett Pimple,
2:30pm,Batman Beyond,Gothem Golem,
3:00pm,Reboot,Racing the Clock,
3:30pm,Weird-Oh's,Family Fuel / Y2K Kaos,
4:00pm,Sailor Moon,Dangerous Dollies,
4:30pm,Powerpuff Girls,Speed Demon / Mojo Jonesin,
5:00pm,Monster By Mistake,Kidnapped,
5:30pm,Watership Down,Easy Life,
6:00pm,Artists Specials Monet: Shadow & Light,,
6:30pm,,,
7:00pm,The Adventures of Shirley Holmes,Case of Dead Debutante,
7:30pm,Incredible Story Studio,Cupid's Arrow,
8:00pm,Caitlin's Way,Deputy for a Day,
8:30pm,Flipper,A Helping Hand,
9:00pm,,,
9:30pm,My Hometown,Moped'r Blues,
10:00pm,Anti-Gravity Room,Bad Ideas,
10:30pm,Alpha 2 Omega,Artsy Fartsy,
11:00pm,System Crash,Crime & Punishment,
11:30pm,Radio Active,Junk Food Racket,
