Time,Show,Episode,Image
12:00am,Are You Being Served?,The Hand of Fate,""
12:36am,Keeping Up Appearances,Driving Mrs Fortescue,""
1:12am,"Yes, Prime Minister",The Ministerial Broadcast,""
1:41am,Fresh Gear,Episode 27,""
2:11am,Internet Tonight,Episode 18,""
2:40am,The Anti-Gravity Room,Comic Books on the Screen,""
3:09am,Paid Programming,Vibes Body,""
3:38am,Woody Woodpecker & Friends,Episode 21,""
4:07am,Peter Pan & The Pirates,"The Ages of Pan, Part 2",""
4:35am,Hey Arnold!,Phoebe Takes the Fall/The Pig Wars,""
5:02am,Dragon Ball Z,Princess Snake's Hospitality,""
5:30am,Pokémon,Snack Attack,""
6:00am,Kitty Cats,Shooting Stars / Hello Rosie!,""
6:30am,Once Upon a Hamster,Circus,""
6:54am,Maisy,Clouds,""
7:00am,Panda Bear Daycare,Episode 3,""
7:14am,Ruffus the Dog,Rapunzel,""
7:30am,The New Batman Adventures,Animal Act,""
8:00am,The Flintstones,Operation Barney,""
8:30am,Rupert,Rupert's Roman Adventure,""
9:00am,Bananas in Pyjamas,Episode 21,""
9:30am,The Big Comfy Couch,Bad Hair Day,""
9:56am,My Special Book,Clean Up,""
10:00am,Kitty Cats,The Rainbow / The Walking Cactus,""
10:25am,Nanalan',Clouds,""
10:28am,Anthony Ant,The Treasure/Quest,""
10:51am,"Big Sister, Little Brother",The Life Jacket,""
10:54am,Judy & David's Boom Box,Apple Juice,""
11:00am,Panda Bear Daycare,Episode 3,""
11:14am,Ruffus the Dog,Rapunzel,""
11:30am,The Magic School Bus,Takes a Dive,""
11:55am,Jellabies,Echoes,""
12:00pm,Animaniacs,Pavlov's Mice / Chicken Boo-Ryshnikov / Nothing But the Tooth,""
12:30pm,Pinky and the Brain,Ambulatory Abe / Mouse of La Mancha,""
12:56pm,My Special Book,London Bridge,""
1:00pm,Maisy,Bath,""
1:06pm,Wildlife,Dancing / Cold Crocodile,""
1:12pm,Mopatop's Shop,No Sea,""
1:21pm,Jellabies,Runaway Train,""
1:25pm,Nanalan',Clouds,""
1:30pm,The Country Mouse and the City Mouse Adventures,When Irish Mice Are Smiling,""
1:58pm,Spider!,Just a Spider,""
2:03pm,Kipper,The Long Walk,""
2:12pm,The Crayon Box,Sing Out,""
2:24pm,Toothbrush Family,Lost City,""
2:30pm,Kipper,Gismo / Circus / Lost Mug,""
2:54pm,Animal Stories,Ross the Rhinoceros,""
3:00pm,The Magic School Bus,Takes a Dive,""
3:30pm,Uh Oh!,Episode 107,""
4:00pm,Pokémon,A Shipful of Shivers,""
4:30pm,Dragon Ball Z,Escape from Piccolo,""
5:00pm,Rugrats,Uneasy Rider / Where's Grandpa,""
5:30pm,Hey Arnold!,Best Man / Cool Party,""
6:00pm,The New Addam's Family,Melancholia Finds Romance,""
6:30pm,Weird-Oh's,A Birthday Wish / Pranks for the Memories,""
7:00pm,Shadow Raiders,Bad to the Bone,""
7:30pm,Beast Machines,The Weak Component,""
8:00pm,Farscape,Nerve,""
8:30pm
9:00pm,gAmerZ,Episode 3,""
9:30pm,Boy Meets World,Boys II Mensa,""
10:00pm,Student Bodies,Double Date,""
10:30pm,Goosebumps,More Monster Blood,""
11:00pm,The New Addam's Family,"Lights, Camera, Addams",""
11:30pm,Beasties,Proving Grounds,""
