Time,Show,Episode
12:00am,Are You Being Served?,Anything You Can Do
12:30am,Keeping Up Appearances,Episode 42b
1:09am,"Yes, Minister",Smoke Screen
1:38am,Gamespot TV,Episode 16
2:09am,Internet Tonight,Episode 25
2:38am,The Anti-Gravity Room,Fun and Games
3:08am,Rocky & Bullwinkle,Episode 155
3:37am,Woody Woodpecker & Friends,Episode 108
4:04am,Peter Pan,Tootles the Bold
4:32am,Digimon,Wizardmon's Gift
5:00am,Dragon Ball Z,Dende's Demise
5:28am,Pokémon,Tower of Terror
6:00am,Kitty Cats,The Puppets / The Pyjama Party
6:30am,Once Upon a Hamser,Daredevil GP
7:00am,Fuzzpaws,Rules Rule!
7:25am,Lisa,Scared of Loli
7:30am,Big Comfy Couch,Enough Already!
8:00am,Kitty Cats,Surprise Behind the Door / Willi
8:30am,Country Mouse & The City Mouse Adventures,Sherlock Mouse
9:00am,Bananas in Pyjamas,Pink Mug
9:20am,Jellabies,Chums
9:30am,Pumper Pups,Sand / Muscles / Tall
10:00am,Stickin' Around,Scared Stupid / The Ghost and Mr. Coffin
10:30am,Groundling Marsh,Honey I Shrunk the Groundlings
10:54am,The Adventures of Spot,Spot Goes To A Party
11:00am,Fuzzpaws,Rules Rule!
11:24am,Animal Stories,Cyril the Centipede
11:30am,Rupert,Rupert & The Sun Bandit
12:00pm,Batman,"Tyger, Tyger"
12:25pm,Freaky Stories,The Nosey Maid
12:30pm,Pinky and the Brain,"The Family That Poits Together, Narfs Together"
12:55pm,My Special Book,Fix It Day
1:00pm,Bedtime Stories,Good Night Everyone
1:07pm,Enchanted Lands,The Wishing Chair
1:17pm,Happy Birthday,Episode 4
1:25pm,Toothbrush Family,Raining Dinosaurs
1:30pm,Country Mouse & The City Mouse Adventures,Sherlock Mouse
1:55pm,Fuzzpaws,"Share, But Beware"
2:00pm,Maisy,Plane
2:06pm,Wildlife,Singing Grass / Rhino / Bird
2:12pm,Mopatop's Shop,Real Cool Shoes
2:20pm,Jellabies,Parrot
2:25pm,Nanalan',Russell's Dinner
2:30pm,Archibald The Koala,The Rugby Basket / Dragon
2:55pm,Judy & David's Boom Box,Gotta Getta Goody
3:00pm,Magic School Bus,Goes Upstream
3:30pm,Uh Oh!,Episode 74
4:00pm,Rugrats,Potty Training Spike / The Art Fair
4:30pm,Digimon,Propecy
5:00pm,Pokemon,Hunter Vs. Kadabra
5:30pm,Dragon Ball Z,The Renewed Goku
6:00pm,The New Addams Family,Morticia's Romance (Part 2)
6:30pm,I was a Sixth Grade Alien,"They Shoot, They Splorked!"
7:00pm,Mona the Vampire,The Man with Nine Lives / Yak of the Yammering Yam
7:30pm,Worst Witch,The Inspector Calls
8:00pm,Big Wolf on Campus,The Swamp Thing You Do
8:30pm,Boy Meets World,Back 2 School
9:00pm,Student Bodies,A New Beginning
9:30pm,Back to Sherwood,The Rebellion
10:00pm,The Adventures of Shirley Holmes,The Case of Babyfingers
10:30pm,Big Wolf on Campus,The Swamp Thing You Do
11:00pm,The New Addams Family,"My Son, The Chimp"
11:30pm,Beasties,Power Surge
