Time,Show,Episode
12:00am,Are You Being Served?,Mrs. Slocombe Expects
12:30am,Keeping Up Appearances,A Celebrity For The Barbecue
1:00am,"Yes, Minister",The Compassionate Society
1:30am,Gamespot Int'l,Episode 8
2:00am,Internet Tonight,Episode 1
2:30am,Anti-Gravity Room,Monsters and Evil
3:00am,Rocky & Bullwinkle,Bullwinkle's Corner / My Shadow
3:30am,Woody Woodpecker & Friends,Episode 6
4:00am,Peter Pan,Treasure Hunt
4:30am,Digimon,WereGarurumon's Diner
5:00am,Dragon Ball Z,The World's Strongest Team
5:30am,Pokémon,The Misty Mermaid
6:00am,Kitty Cats,Ricky the Sleepwalker / Ricky's Dream
6:25am,Plonsters,Episode 5
6:30am,Once Upon a Hamster,Let it Rain
6:54am,Maisy,Dancing
7:00am,Fuzzpaws,Opposites Attract
7:24am,Lisa,Paint the Bathroom
7:30am,George & Martha,Dance Recital / The Tooth
7:53am,Animal Stories,Ralph the Rabbit
7:58am,Little Big Kid,Let's Go Fishin
8:00am,The Flintstones,The Indianrockolis 500
8:30am,Country Mouse & The City Mouse Adventures,Outback Down Under
8:54am,Wildlife,Flytrap Flowers / Lightbugs
9:00am,Bananas in Pyjamas,Quick Grow
9:22am,Jellabies,Rubbish
9:30am,Big Comfy Couch,Ping Pong Polka
9:55am,My Special Book,Three Little Kittens
10:00am,Kitty Cats,Ricky's Rocket / Squawky the Sockie
10:25am,Nanalan',The Bath
10:30am,Anatole,Hunchbat of Notre Dame
10:52am,Works,The Foundry
10:57am,Painting Pictures,A Northern Village
11:00am,Fuzzpaws,Opposites Attract
11:25am,Animal Stories,Austin the Oyster
11:30am,Rupert,Rupert & The Paper Fold
11:55am,Jellabies,Mountain
12:00pm,Batman,House and Garden
12:23pm,Freaky Stories,Maple Syrup
12:31pm,Pinky and the Brain,Snowball
12:57pm,My Special Book,The Zoo
1:00pm,The Adventures of Spot,Spot Goes to the Park
1:07pm,Enchanted Lands,Magician's Party
1:22pm,Toothbrush Family,The Golden Ring
1:27pm,Painting Pictures,Fire Swept Algoma
1:33pm,Country Mouse & The City Mouse Adventures,Outback Down Under
1:54pm,Fuzzpaws,Little Bo-Peep
2:00pm,Maisy,Lemonade
2:05pm,Wildlife,Flytrap Flowers / Lightbugs
2:11pm,Mopatop's Shop,What's in an Egg
2:20pm,Jellabies,Wheels
2:25pm,Nanalan',Love
2:30pm,Judy & David's Boom Box,Jelly Bean Jam
2:34pm,Postman Pat,Pat's Thisty Day
2:45pm,Animal Stories,Phillip the Fly
2:56pm,Plonsters,Episode 6
3:00pm,Magic School Bus,Wet All Over
3:30pm,Uh Oh!,Episode 91
4:00pm,Monster Rancher,Our Friend Henger Forever
4:30pm,Digimon,"No Questions, Please"
5:00pm,Pokémon,Clefairy Tales
5:30pm,Dragon Ball Z,Gohan's Hidden Powers
6:00pm,The New Addams Family,The Winning of Morticia
6:30pm,Caitlin's Way,Testing
7:00pm,Boy Meets World,Home
7:30pm,Radio Active,The Prince & the Pimple
8:00pm,Student Bodies,Victor Gets Drunk
8:30pm,Boy Meets World,I Ain't Gonna
9:00pm,Student Bodies,Romeo's Old Friend
9:30pm,Alpha 2 Omega,Go!
10:00pm,Gamerz,Episode 2
10:30pm,Caitlin's Way,Testing
11:00pm,The New Addams Family,"Fester, The Marriage Counselor"
11:30pm,Beasties,Aftermath
