Time,Show,Episode,Image
12:00am,Are You Being Served?,Episode 7,""
12:30am,Keeping Up Appearances,Hyacinth Is Alarmed,""
1:00am,Yes Minister,Moral Dimension,""
1:30am,Fresh Gear,Episode 13,""
2:00am,Internet Tonight,Episode 36,""
2:30am,The Anti-Gravity Room,Episode 55,""
3:00am,Rocky & Bullwinkle,Episode 108,""
3:30am,Woody Woodpecker & Friends,Episode 58,""
4:00am,Peter Pan,Three Wishes,""
4:30am,Digimon,Togemon in Toy Town
5:00am,Dragon Ball Z,Escape from Dodoria,""
5:30am,Pokémon,Snack Attack,""
6:00am,Kitty Cats,Ricky's Rocket / Squaky the Soc,""
6:30am,Once Upon a Hamser,Garage Sale,""
6:55am,Maisy,Boat,""
7:00am,Fuzzpaws,Great Balls of Fire,""
7:24am,Lisa,Scared of Loli,""
7:30am,Big Comfy Couch,Earth to Loonette,""
8:00am,Kitty Cats,Tango the Singer / Ah the Seaside,""
8:30am,Country Mouse & The City Mouse Adventures,Mouse-tache Marauder,""
8:55am,Wildlife,Episode 28,""
9:00am,Bananas in Pyjamas,Stone Soup,""
9:22am,Jellabies,Captain Jelly Beard,""
9:30am,George & Martha,Triple Dare / Icky Story,""
10:00am,Stickin' Around,Coat of Many Troubles / Environmentally Frenzied,""
10:30am,Anatole,Anatole's Parisian Adventure,""
10:52am,Works,Dairy Farming,""
11:00am,Fuzzpaws,Great Balls of Fire,""
11:24am,Animal Stories,Sammy the Hippo,""
11:30am,Rupert,Rupert and the Fireband,""
11:54am,Jellabies,Jelly Phone,""
12:00pm,Batman,Mad Love,""
12:25pm,Freaky Stories,The Rich Fart,""
12:30pm,Pinky and the Brain,Mice Don't Dance,""
12:55pm,My Special Book,Goldie the Goldfish,""
1:00pm,The Adventures of Spot,"Sweet Dreams, Spot",""
1:05pm,Enchanted Lands,Land of Dreams,""
1:15pm,Bump,Bump and the Flying Flowers,""
1:20pm,Toothbrush Family,The Paper Aeroplane,""
1:30pm,Country Mouse & The City Mouse Adventures,Mouse-tache Marauder,""
1:53pm,Fuzzpaws,No Time Like the Present,""
2:00pm,Maisy,Hide & Seek,""
2:05pm,Wildlife,Episode 29,""
2:11pm,Mopatop's Shop,The Gobble De Gook,""
2:20pm,Jellabies,Rescue,""
2:25pm,Nanalan',Puppet,""
2:29pm,Judy & David's Boom Box,David Tabernacle Choir,""
2:32pm,Postman Pat,Episode 14,""
2:50pm,Animal Stories,Ernest the Hyena,""
3:00pm,The Magic School Bus,Gets Lost in Space,""
3:30pm,Uh Oh!,Episode 86,""
4:00pm,Rugrats,Tooth or Dare / Party Animals,""
4:30pm,Digimon,Ikkakumon's Harpoon Torpedo,""
5:00pm,Pokémon,A Shipfull of Shivers,""
5:30pm,Dragon Ball Z,Secrets Revealed,""
6:00pm,The New Addams Family,Catastrophia's Career,""
6:30pm,Caitlin's Way,Horror Show,""
7:00pm,Boy Meets World,Truth and Consequences,""
7:30pm,Radio Active,Morgan and Blaire: Sitting in a Tree,""
8:00pm,Student Bodies,Dead Men Don't Wear Plaid,""
8:30pm,Boy Meets World,The Eskimo,""
9:00pm,Student Bodies,The Reunion,""
9:30pm,Alpha 2 Omega,Geeks and Freaks,""
10:00pm,gAmerZ,Episode 9,""
10:30pm,Caitlin's Way,Horror Show,""
11:00pm,The New Addams Family,Uncle Fester's Toupee,""
11:30pm,Beasties,The Trigger (Part 2),""
