Time,Show,Episode
12:00am,Are You Being Served?,Dear Sexy Knickers
12:30am,Keeping Up Appearances,A Barbecue At Violet's
1:00am,"Yes, Minister",Equal Opportunities
1:30am,Dog City,Adventures in Puppysitting
2:00am,Ocean Girl,
2:30am,The Anti-Gravity Room,
3:00am,Rocky & Bullwinkle,
3:30am,Woody Woodpecker,
4:00am,Peter Pan,
4:30am,Hurricanes,
5:00am,Dr. Xargle,Family
5:30am,Fennec,
6:00am,Dog City,
6:30am,Pippi Longstocking,Pippi Goes to the South Seas
7:00am,Anthony Ant,Walk Like an Egyptian
7:30am,Fuzzpaws,
8:00am,Dragon Ball Z,
8:30am,Pokémon,The Ancient Puzzle of Pokémopolis
9:00am,Monster Rancher,
9:30am,Digimon,
10:00am,Monster Rancher,
10:30am,Digimon,
11:00am,Monster Rancher,
11:30am,Digimon,
12:00pm,Pippi Longstocking,Pippi Goes to the South Seas
12:30pm,CatDog,
1:00pm,The Wild Thornberrys,Eliza-cology
1:30pm,The Angry Beavers,
2:00pm,Stickin' Around,This is a Hiccup! / Disciplinary Action
2:30pm,Batman Beyond,
3:00pm,Reboot,To Mend and Defend
3:30pm,Shadow Raiders,On the Rocks
4:00pm,Weird-Oh's,
4:30pm,The Powerpuff Girls,
5:00pm,Monster by Mistake,(a musician wants the monster in her rock video)
5:30pm,George and Martha,The Snoop / A Day at the Beach
6:00pm,Watership Down,
6:30pm,Artists' Specials: Goya: Awakened in a Dream,
7:00pm,,
7:30pm,The Adventures of Shirley Holmes,The Case of the Forbidden Mountain
8:00pm,Incredible Story Studio,The Great Switcheroo
8:30pm,Flipper,Swimming With Sharks
9:00pm,,
9:30pm,My Hometown,The Trade
10:00pm,The Anti-Gravity Room,San Diego Comic Convention
10:30pm,Warp,
11:00pm,System Crash,Sports
11:30pm,Radio Active,The Classy Girl
