Time,Show,Episode,Image
12:00am,Are You Being Served?,Roots?,""
12:30am,Keeping Up Appearances,Episode 1,""
1:00am,"Yes, Minister",Economy Drive,""
1:30am,Rocky & Bullwinkle,Episode 52,""
2:00am,Hey Arnold!,Parents Day,""
2:30am,Roswell Conspiracies,Countdown,""
3:00am,Walter Melon,Through History,""
3:30am,Batman,The Clock King,""
4:00am,Dragon Ball Z,Embodiment of Fire,""
4:30am,Digimon,Crest of Friendship,""
5:00am,Pokémon,Friends to the End,""
5:30am,Roswell Conspiracies,The Vodun Uprising,""
6:00am,Once Upon a Hamster,Bells,""
6:30am,St. Bear's Dolls Hospital,The Inside Picnic,""
6:44am,Beezoo's Attic,Beezoo Wants to Travel,""
7:00am,Fuzzpaws,Opposites Attract,""
7:30am,Elliot Moose,Bear Care / Dragonhorse / 2001: A Space Oddity / Tuneless,""
8:00am,The Jetsons,Fugitive Fleas,""
8:30am,Stickin' Around,Report Card of Doom / Ring Toss,""
9:00am,Rupert,Rupert and the Fiddle,""
9:24am,Pablo the Little Red Fox,Pablo The Lifeguard,""
9:30am,Bananas in Pyjamas,Episode 41,""
10:00am,Country Mouse and the City Mouse Adventures,Matador Mice,""
10:30am,St. Bear's Dolls Hospital,Tango Dancers,""
10:44am,Beezoo's Attic,Beezoo Wants To Travel,""
11:00am,Fuzzpaws,Opposites Attract,""
11:30am,Elliot Moose,Bear Care / Dragonhorse / 2001: A Space Oddity / Tuneless,""
11:52pm,Lisa,The Fancy Dress,""
12:00pm,Rugrats,Ruthless Tommy / Moose Country,""
12:30pm,Uh Oh!,Episode 160,""
1:00pm,Jellabies,Jelly Lake,""
1:05pm,Maisy,Washing,""
1:10pm,Wildlife,Episode 49,""
1:15pm,Mopatop's Shop,Singalotti,""
1:24pm,Pablo the Little Red Fox,Pablo the Lifeguard,""
1:30pm,Animaniacs: Wakko's Wish (1999),""
2:00pm
2:30pm
3:00pm,The Magic School Bus,In the Rainforest,""
3:30pm,Uh Oh!,Episode 162,""
4:00pm,Rugrats,Ruthless Tommy / Moose Country,""
4:30pm,Hey Arnold!,Eugene's Birthday / Stinky's Pumpkin,""
5:00pm,Pokémon: The Johto Journeys,A Shadow of a Drought,""
5:30pm,Digimon,Piedmon's Last Jest,""
6:00pm,Two of a Kind,Carrie Moves In,""
6:30pm,Sailor Moon,Hello Scout Minimoon,""
7:00pm,Caitlin's Way,Playing Caitlin,""
7:30pm,Adventures of Shirley Holmes,The Case of the Mysterious Message,""
8:00pm,Dragon Ball Z,Up to Piccolo,""
8:30pm,Boy Meets World,Grandma Was a Rolling Stone,""
9:00pm,Noah Knows Best,The Tickets,""
9:30pm,Treasure,Treasure is Not Stupid / Everyone Go Away,""
10:00pm,Lucy Sullivan Getting Married,To The Airport,""
10:30pm,Gundam Wing,Party Night,""
11:00pm,Student Bodies,A Perfect Mags,""
11:30pm,Caitlin's Way,Playing Caitlin,""
