Time,Show,Episode,Image
12:00am,Are You Being Served?,Episode 4,""
12:35am,Keeping Up Appearances,Looking at Properties,""
1:10am,Yes Minister,The Challenge,""
1:40am,Rocky and Bullwinkle,Episode 14,""
2:09am,Hey Arnold!,Gerald's Game / Fishing Trip,""
2:39am,Roswell Conspiracies,When Giants Walked the Earth,""
3:06am,Walter Melon,Big Red Riding Hood and the Pizzas / The Stout Musketeer,""
3:37am,Batman: The Animated Series,Zatanna,""
4:05am,Dragon Ball Z,The World's Strongest Team,""
4:34am,Digimon,The Digiteam Complete,""
5:02am,Pokémon,Pokémon Food Fight,""
5:30am,Roswell Conspiracies,When Giants Walked the Earth,""
6:00am,Once Upon a Hamster,Arrival,""
6:24am,Maisy,Parade,""
6:30am,St. Bear's Dolls Hospital,The Little Toy Soldier,""
6:44am,Beezoo's Attic,The Mouse Who Came Back,""
7:00am,Kleo the Misfit Unicorn,Pot O' Gold,""
7:24am,The Adventures of Spot,Spot Finds a Key,""
7:30am,George and Martha,The Cold / The Campout,""
8:00am,The Jetsons,The Space Car,""
8:30am,The Flintstones,The Swimming Pool,""
9:00am,Rupert,Rupert and the Temple Ruins,""
9:24am,Pablo the Little Red Fox,Market Day,""
9:30am,Bananas in Pyjamas,Episode 49,""
9:55am,Judy & David's Boom Box,Fe Fi Fo Fum,""
10:00am,The Country Mouse and the City Mouse Adventures,Those Amazing Mice in Their Flying Machines,""
10:24am,Wildlife,The Crocodile / Sharks,""
10:30am,St. Bear's Dolls Hospital,The Little Toy Soldier,""
10:44am,Beezoo's Attic,The Mouse Who Came Back,""
11:00am,Kleo the Misfit Unicorn,Pot O' Gold,""
11:24am,The Adventures of Spot,Spot in a Garden,""
11:30am,George and Martha,The Cold / The Campout,""
12:00pm,Rugrats,Wrestling Grandpa / Chuckie Collects,""
12:28pm,Tiny Toon Adventures,Furrball Follies,""
12:58pm,Jellabies,Shipwreck,""
1:03pm,Maisy,Roller Skates,""
1:09pm,Wildlife,The Cactus & Scorpion,""
1:14pm,Mopatop's Shop,Keys,""
1:23pm,Pablo the Little Red Fox,Market Day,""
1:28pm,The Country Mouse and the City Mouse Adventures,Those Amazing Mice in Their Flying Machines,""
1:55pm,Plonsters,Episode 6,""
1:58pm,Spider!,Spider in the Bath,""
2:03pm,Kipper,The Surprise Party,""
2:12pm,The Crayon Box,Three Little Piggys,""
2:23pm,Toothbrush Family,Lost in the Dessert,""
2:28pm,The Twins,Belly Beans / Beep,""
2:58pm,The Magic School Bus,"Gets Ready, Set, Dough",""
3:30pm,Uh Oh!,Episode 88,""
4:00pm,Rugrats,Wrestling Grandpa / Chuckie Collects,""
4:30pm,Hey Arnold!,Bag of Money / Principal Simmons,""
5:00pm,Pokémon,Pokémon Double Trouble,""
5:30pm,Digimon,A New Digitude,""
6:00pm,Two of a Kind,Prelude to a Kiss,""
6:30pm,Monster by Mistake,Live From Pickford,""
7:00pm,Mona the Vampire,Garage Sale Genie / Ghouls and Dolls,""
7:30pm,I Was a Sixth Grade Alien,There's an Alien in My Seat!,""
8:00pm,The Worst Witch,The Genius of the Lamp,""
8:30pm,Freaky Stories,Maggots Are From Venus,""
9:00pm,Treasure,When Mum Met Brian / Grandma's Room,""
9:30pm,Crush,Adam / Lara,""
10:00pm,Downtown,Sin Bin,""
10:30pm,Student Bodies,The Test,""
11:00pm,Freaky Stories,Maggots Are From Venus,""
11:30pm,Mobile Suit Gundam Wing,Five Gundams Confirmed,""
