Time,Show,Episode,Youtube Video ID
12:00am,Are You Being Served?,Episode 5,
12:34am,Keeping Up Appearances,Please Mind Your Head,
1:09am,Yes Minister,The Skeleton in the Cupboard,
1:40am,Rocky and Bullwinkle,Episode 15,
2:09am,Hey Arnold!,Bag of Money / Principal Simmons,
2:39am,Roswell Conspiracies,Father of Terror,
3:07am,Walter Melon,Incompetence Day / King-Gong,
3:37am,Batman: The Animated Series,"Robin's Reckoning, Part 1",
4:06am,Dragon Ball Z,Gohan's Hidden Powers,
4:35am,Digimon,A New Digitude,
5:03am,Pokémon,Pokémon Double Trouble,
5:31am,Roswell Conspiracies,Father of Terror,
6:00am,Once Upon a Hamster,Boothouse,
6:24am,Maisy,Sheep,
6:30am,St. Bear's Dolls Hospital,The Toy Box Disaster,
6:44am,Beezoo's Attic,The Lady Downstairs,
7:00am,Fuzzpaws,A Hairy Situation,
7:24am,Judy & David's Boom Box,Granny-a-Go-Go,
7:30am,Elliot Moose,A Tail or Two / A Lion In Summer / The Giant Pongolongo / Elliot's Masterpiece,
8:00am,The Jetsons,The Coming of Astro,
8:30am,The Flintstones,No Help Wanted,
9:00am,Rupert,Rupert and the Missing Snow,
9:24am,Pablo the Little Red Fox,Gone Hunting,
9:30am,Bananas in Pyjamas,Episode 50,
9:56am,Judy & David's Boom Box,Wake Up Your Dream,
10:00am,The Country Mouse and the City Mouse Adventures,Frisco Rumble,
10:23am,Wildlife,The Reindeers & Whale,
10:30am,St. Bear's Dolls Hospital,The Toy Box Disaster,
10:44am,Beezoo's Attic,The Lady Downstairs,
11:00am,Fuzzpaws,A Hairy Situation,
11:24am,Judy & David's Boom Box,Red's In the Hood,
11:30am,Elliot Moose,A Tail or Two / A Lion In Summer / The Giant Pongolongo / Elliot's Masterpiece,
11:52am,Lisa,Gets a Babysitter,
12:00pm,Rugrats,"Runaway Reptar, Part 1",
12:30pm,Tiny Toon Adventures,Hero Hamton,
1:00pm,Jellabies,Cave In,
1:05pm,Maisy,Wheel,
1:10pm,Wildlife,The Magpies & Fred,
1:16pm,Mopatop's Shop,Real Cool Shoes,
1:24pm,Pablo the Little Red Fox,Gone Hunting,
1:30pm,The Country Mouse and the City Mouse Adventures,Frisco Rumble,
1:55pm,Plonsters,Episode 8,
2:00pm,Bump,Bump Has a Funny Day,
2:05pm,The Adventures of Spot,Spot Goes to a Party,
2:11pm,Toothbrush Family,The Hairy Caterpillar,
2:16pm,Enid Blyton's Enchanted Lands,The Land of Dame Tickle,
2:30pm,George and Martha,The Big Splash / My Stars!,
3:00pm,The Magic School Bus,Kicks Up a Storm,
3:30pm,Uh Oh!,Episode 89,
4:00pm,Rugrats,"Runaway Reptar, Part 1",
4:30pm,Hey Arnold!,New Bully on the Block / Phoebe Breaks a Leg,
5:00pm,Pokémon,The Wacky Watcher,
5:30pm,Digimon,Iron Vegiemon,
6:00pm,Two of a Kind,First Crush,
6:30pm,Yvon of the Yukon,North of Nothing,
7:00pm,Action Man,Grey Areas,
7:30pm,Weird-Oh's,Head Gasket of the Class / Traffic Jam Session,
8:00pm,Beast Machines,Endgame Part 2: When Legends Fall,
8:30pm,Shadow Raiders,Rock and Ruin,
9:00pm,Opposite Sex,Pilot,
9:30pm,,,
10:00pm,gAmerZ,Episode 16,
10:30pm,Treasure,When Mum Met Brian / Grandma's Room,
11:00pm,Action Man,Grey Areas,
11:30pm,Mobile Suit Gundam Wing,The Victoria Nightmare,
