Time,Show,Episode
12:00am,Are You Being Served?,Pilot
12:30am,Keeping Up Appearances,The Boy Friend
1:00am,"Yes, Minister",A Question of Loyalty
1:30am,Fresh Gear,
2:00am,Internet Tonight,
2:30am,Anti-Gravity Room,
3:00am,Rocky & Bullwinkle,
3:30am,Woody Woodpecker,
4:00am,Peter Pan,
4:30am,Hey Arnold!,
5:00am,Dragon Ball Z,The World's Strongest Team
5:30am,Monster Rancher,
6:00am,Surf's Up! Let's Cook,(eggs-in-a-hole; spider salad; chocolate fruit fondue)
6:30am,Surf Shack,In The Swim
7:00am,The Secret Files of the Spy Dogs,
7:30am,Uh Oh!,
8:00am,CatDog,Shriek Loves Dog / Workforce
8:30am,SpongeBob SquarePants,
9:00am,CatDog,
9:30am,SpongeBob SquarePants,
10:00am,CatDog,
10:30am,SpongeBob SquarePants,
11:00am,CatDog,
11:30am,SpongeBob SquarePants,
12:00pm,The Jetsons,
12:30pm,Video & Arcade Top 10,
1:00pm,Hit List,(Hi-density)
1:30pm,,
2:00pm,,
2:30pm,Batman Beyond,
3:00pm,Brats of the List Nebula,
3:30pm,ReBoot,Racing The Clock
4:00pm,Dexter's Laboratory,
4:30pm,The Powerpuff Girls,
5:00pm,Mona The Vampire,The Whirling Void / There's No Place Like Gnome
5:30pm,The Worst Witch,
6:00pm,The New Addams Family,Thing Is Missing
6:30pm,Big Wolf On Campus,Big Bad Wolf
7:00pm,Buffy The Vampire Slayer,
7:30pm,,
8:00pm,Freaky Stories,(bizarre and twisted tales. animated)
8:30pm,Goosebumps,Piano Lessons Can Be Murder
9:00pm,The Worst Witch,A Mean Halloween
9:30pm,Monster By Mistake,Kidnapped
10:00pm,I Was a Sixth Grade Alien,Gro-Gro Grown-Up Dementia!
10:30pm,The New Addams Family,Fester's Punctured Romance
11:00pm,Brats of the Lost Nebula,Brain Drain
11:30pm,Beasties,"The Agenda, Part One"
