Time,Show,Episode
12:00am,Scooby-Doo and Guess Who?,The Crown Jewel of Boxing!
12:30am,The Internet on Haunted House Hill!,
1:00am,"Be Cool, Scooby-Doo!",Omelettes Are Forever
1:30am,Ghost in the Mystery Machine,
2:00am,Despicable Me 2 (2013),
2:30am,,
3:00am,,
3:30am,,
4:00am,Teen Titans Go!,We're Off to Get Awards
4:15am,Rain on Your Wedding Day,
4:30am,Egg Hunt,
4:45am,Bucket List,
5:00am,The Wonderfully Weird World of Gumball,The Pool
5:15am,The Portrait,
5:30am,The Climb,
5:45am,The Amadain,
6:00am,Ollie's Pack,Separation Anxiety / The Take Over
6:23am,Hotel Transylvania: The Series,Married to the Blob
6:45am,Minions (2015),
7:00am,,
7:15am,,
7:30am,,
7:45am,,
8:00am,,
8:20am,Despicable Me 3 (2017),
8:30am,,
8:45am,,
9:00am,,
9:15am,,
9:30am,,
9:45am,,
10:00am,The LEGO Batman Movie (2017),
10:15am,,
10:30am,,
10:45am,,
11:00am,,
11:15am,,
11:30am,,
11:45am,Minions (2015),
12:00pm,,
12:15pm,,
12:30pm,,
12:45pm,,
1:00pm,,
1:20pm,Despicable Me 3 (2017),
1:30pm,,
1:45pm,,
2:00pm,,
2:15pm,,
2:30pm,,
2:45pm,,
3:00pm,The LEGO Batman Movie (2017),
3:15pm,,
3:30pm,,
3:45pm,,
4:00pm,,
4:15pm,,
4:30am,,
4:45pm,,
5:00pm,,
5:15pm,Minions (2015),
5:30pm,,
5:45pm,,
6:00pm,,
6:15pm,,
6:30pm,,
6:45pm,,
7:00pm,,
7:15pm,Despicable Me 3 (2017),
7:30pm,,
7:45pm,,
8:00pm,,
8:15pm,,
8:30pm,,
8:45pm,,
9:00pm,,
9:15pm,Best & Bester,Pulling Power
9:30pm,Mr. D,Mafia Dad
10:00am,Parent Teacher Night,
10:30am,Old School,
11:00am,Staff Hangover,
11:30am,President Jimmy,
