Time,Show,Episode
12:00am,Scooby-Doo and Guess Who?,Scooby on Ice!
12:30am,Caveman on the Half Pipe!,
1:00am,"Be Cool, Scooby-Doo!","If You Can't Scooby-Doo the Time, Don't Scooby-Doo the Crime"
1:30am,Trading Chases,
2:00am,How to Train Your Dragon 2 (2014),
2:30am,,
3:00am,,
3:30am,,
4:00am,,
4:15am,Teen Titans Go!,Best Mom Ever
4:30am,Pie Bros,
4:45am,Elasti-Bot,
5:00am,The Wonderfully Weird World of Gumball,The Portrait
5:15am,The Thing,
5:30am,The Assistant,
5:45am,The Distance,
6:00am,Ollie's Pack,New Kid on Campus / The Chosen One(s)
6:23am,Hotel Transylvania: The Series,Great Eggspectations / Hotel Pennsylvania
6:45am,Best & Bester,The Big Game / Get Your Skate On
7:07am,The Amazing World of Gumball,The Lie
7:18am,The Oracle,
7:30am,The Safety,
7:42am,The Friend,
7:55am,Teen Titans Go!,Waffles
8:07am,Opposites,
8:20am,Birds,
8:32am,Be Mine,
8:45am,Ollie's Pack,New Kid on Campus / The Chosen One(s)
9:10am,Best & Bester,The Big Game / Get Your Skate On
9:35am,Zokie of Planet Ruby,Entrepren-Earl / Lucky Charms
10:00am,Mermicorno: Starfall,Finloose
10:25am,Underwater Pressure,
10:50am,Ollie's Pack,New Kid on Campus / The Chosen One(s)
11:15am,Hotel Transylvania: The Series,Great Eggspectations / Hotel Pennsylvania
11:40am,Best & Bester,The Big Game / Get Your Skate On
12:05pm,Zokie of Planet Ruby,Entrepren-Earl / Lucky Charms
12:30pm,Mermicorno: Starfall,Finloose
12:55pm,Underwater Pressure,
1:20pm,Best & Bester,Get Shirty / This Solves Nothing
1:45pm,Hotel Transylvania: The Series,Great Eggspectations / Hotel Pennsylvania
2:10pm,Mermicorno: Starfall,Finloose
2:35pm,Underwater Pressure,
3:00pm,Scooby-Doo and Guess Who?,The Crown Jewel of Boxing!
3:30pm,The Internet on Haunted House Hill!,
4:00pm,"Be Cool, Scooby-Doo!",Area 51 Adjacent
4:30pm,"Where There's a Will, There's a Wraith",
5:00pm,The Amazing World of Gumball,The Lie
5:15pm,The Oracle,
5:30pm,Scooby-Doo and Guess Who?,The Crown Jewel of Boxing!
6:00pm,Regular Show: The Lost Tapes,Fix That Tape / Skips' Luau
6:30pm,Scooby-Doo and Guess Who?,The Internet on Haunted House Hill!
7:00pm,"Be Cool, Scooby-Doo!",Area 51 Adjacent
7:30pm,"Where There's a Will, There's a Wraith",
8:00pm,Looney Tunes Cartoons,Oregon Fail / Duck Hunting Gag: Duck Call / Life's a Beach
8:15pm,Pearl of My Dreams / Bugs Hole Gags 2: Down the Drain / Mech-A-Mess,
8:30pm,Jellystone!,Gotta Kiss Them All / Jelly Wrestle Rumble!
9:00pm,Paddington (2014),
9:30pm,,
10:00pm,,
10:30pm,,
11:00pm,Scooby-Doo and Guess Who?,The Crown Jewel of Boxing!
11:30pm,The Internet on Haunted House Hill!,
