Time,Show,Episode,Image
12:00am,The Twilight Zone,"Button, Button",""
12:30am,Are You Being Served?,Diamonds Are a Man's Best Friend,""
1:00am,"Yes, Minister","",""
1:30am,The Campbells,"",""
2:00am,The Cisco Kid,"",""
2:30am,Flipper,"",""
3:00am,The Adventures of Rocky and Bullwinkle and Friends,"",""
3:30am,Speed Racer,"",""
4:00am,Superhuman Samurai Syber-Squad,"",""
4:30am,Super Mario Bros. Super Show,"",""
5:00am,Casper and Friends,"",""
5:30am,Hallo Spencer,"",""
6:00am,Ballooner Landing,"",""
6:30am,Maya the Bee,"",""
7:00am,Under the Umbrella Tree,"",""
7:30am,Adventures of Blinky Bill,"",""
8:00am,Kitty Cats,"",""
8:30am,PJ Katie's Farm,"",""
8:45am,The Breakfast Zone,"",""
9:00am,ReBoot,Infected,""
9:30am,Doug,"",""
10:00am,Rupert,"",""
10:30am,The Big Comfy Couch,"",""
11:00am,Marie Soleil,"",""
11:30am,The Adventures of Dudley The Dragon,"",""
12:00pm,Sailor Moon,"",""
12:30pm,Camp Cariboo,"",""
1:00pm,Hands Up Hands On,"",""
1:30pm,Lamb Chop's Play-Along,"",""
2:00pm,Shining Time Station,"",""
2:30pm,Eric's World,"",""
3:00pm,Spider-Man,"",""
3:30pm,Sailor Moon,"",""
4:00pm,Doug,"",""
4:30pm,Rugrats,"",""
5:00pm,The Flintstones,"",""
5:30pm,Family Ties,"",""
6:00pm,Super Dave Osborne,(Mitchell Zeidwig),""
6:30pm,Garfield and Friends,"",""
7:00pm,Santo Bugito,"",""
7:30pm,Are You Afraid of the Dark?,The Tale of the Dead Man's Float,""
8:00pm,Madison,Meeting of Minds,""
8:30pm,ReBoot,Nullzilla,""
9:00pm,Gigabyte,""
9:30pm,It's Alive,(Cheese milkshakes; bad parties; abusive actors; crazy cowboys),""
10:00pm,Neon Rider,Daniel,""
10:30pm
11:00pm,Catwalk,"",""
11:30pm
