Time,Show,Episode,Image
12:00am,The Twilight Zone,Love is Blind,""
12:30am,Are You Being Served?,Goodbye Mr. Grainger,""
1:00am,Magic Hour,"",""
1:30am
2:00am,Captain Scarlet and the Mysterons,"",""
2:30am,Stingray,"",""
3:00am,"","",""
3:30am,"","",""
4:00am,"","",""
4:30am,"","",""
5:00am,"","",""
5:30am,"","",""
6:00am,The Waterville Gang,"",""
6:30am,Ballooner Landing,"",""
7:00am,Spider-Man,"",""
7:30am,Dog City,"",""
8:00am,The Intrepids,"",""
8:30am,C.O.P.S.,"",""
9:00am,Creepy Crawlers,"",""
9:30am,Speed Racer,"",""
10:00am,Battletech,"",""
10:30am,Mighty Max,"",""
11:00am,Biker Mice From Mars,"",""
11:30am,Woody Woodpecker,"",""
12:00pm,Clips,"",""
12:30pm,Video & Arcade Top 10,"",""
1:00pm,Beakman's World,"Soap, Beakmania & Auto Engines",""
1:30pm,The Hit List,"",""
2:00pm
2:30pm,"Hey Vern, It's Ernest!","Hey Vern, It's Outer Space",""
3:00pm,It's Alive,(Cheese milkshakes; bad parties; abusive actors; crazy cowboys),""
3:30pm
4:00pm,Destructoe Brothers on the Run,"",""
4:30pm,Blade Warriors,"",""
5:00pm
5:30pm,Woody Woodpecker,"",""
6:00pm,Rocko's Modern Life,"",""
6:30pm,Squawk Box,Cookies,""
7:00pm,Are You Afraid of the Dark?,The Tale of the Closet Keepers,""
7:30pm,Sweet Valley High,"",""
8:00pm,The Night of the Grizzly (1966),""
8:30pm
9:00pm
9:30pm
10:00pm,The Campbells,75 Miles from Anywhere,""
10:30pm,Snowy River: The McGregor Saga,Man and Boy,""
11:00pm
11:30pm,They Must Be Mad!,(Scooter racing; Ironman competition; hot-air ballooning; snowboarding; parachuting.),""
