Time,Show,Episode
12:00am,Moby Dick (1956),
12:30am,,
1:00am,,
1:30am,,
2:00am,,
2:30am,Get Smart,
3:00am,,
3:30am,,
4:00am,,
4:30am,,
5:00am,,
5:30am,,
6:00am,The Waterville Gang,
6:30am,Ballooner Landing,
7:00am,Hello Kitty,
7:30am,Groundling Marsh,
8:00am,Xuxa,
8:30am,Dino Babies,
9:00am,Once Upon A Hamster,
9:30am,Garfield and Friends,
10:00am,Rugrats,
10:30am,The Pink Panther,
11:00am,Woody Woodpecker,
11:30am,Casper,
12:00pm,ReBoot,
12:30pm,YTV News,
1:00pm,The Thin Man (1934),
1:30pm,,
2:00pm,,
2:30pm,,
3:00pm,The Campbells,(An Indian woman saves Emma from a poisonous snakebite.)
3:30pm,Snowy River: The McGregor Saga,The Cutting Edge
4:00pm,,
4:30pm,Wild Kingdom,"(Problems in the Florida Everglades, where drought, flooding and the diversion of waters that feed the swamp are causing devastation.)"
5:00pm,The Chronicles of Narnia,The Silver Chair - Part 3
5:30pm,Fudge,
6:00pm,Rupert,Rupert and the Lamp
6:30pm,Destructoe Brothers on the Run,
7:00pm,Are You Afraid of the Dark?,The Tale of the Twisted Claw
7:30pm,Sweet Valley High,
8:00pm,Weird Science,Sex Ed
8:30pm,YTV News,
9:00pm,The Hit List,
9:30pm,,
10:00pm,Rough Guide,Zimbabwe
10:30pm,,
11:00pm,Missing Treasures,(A college student disappears and is believed to be the victim of amnesia.)
11:30pm,Max Glick,Of Mice and Max
