Time,Show,Episode,Youtube Video ID
12:00am,Act of Love (1953),,
12:30am,,,
1:00am,,,
1:30am,,,
2:00am,Fame,,
2:30am,,,
3:00am,,,
3:30am,,,
4:00am,,,
4:30am,,,
5:00am,,,
5:30am,,,
6:00am,Marie Soleil,,
6:30am,Maya The Bee,,
7:00am,Romper Room and Friends,,
7:30am,Snelgrove Snail,,
8:00am,The Friendy Giant,,
8:15am,Postman Pat,,
8:30am,The Wind in the Willows,,
9:00am,Size Small,,
9:30am,Marie Soleil,,
10:00am,"Sharon, Lois & Bram's Elephant Show",,
10:30am,Puttnam's Prairie Emporium,,
11:00am,Snelgrove Snail,,
11:30am,Take Part,,
12:00pm,Brownstone Kids,,
12:30pm,OWL/TV,,
1:00pm,Wonder Why?,,
1:30pm,The Big Comfy Couch,,
2:00pm,Lamb Chop's Play-Along,,
2:30pm,Shining Time Station,,
3:00pm,Camp Cariboo,,
3:30pm,Samurai Pizza Cats,,
4:00pm,Alvin and the Chipmunks,,
4:30pm,Captain Planet and the Planeteers,,
5:00pm,Batman,,
5:30pm,Mighty Morphin Power Rangers,,
6:00pm,The Adventures of the Black Stallion,Local Hero,
6:30pm,Video & Arcade Top 10,,
7:00pm,Are You Afraid of the Dark?,The Tale of the Nightly Neighbors,
7:30pm,Little House on the Prairie,Sweet Sixteen,
8:00pm,,,
8:30pm,They Must Be Mad,(Scooter racing; Ironman competition; hot-air ballooning; snowboarding; parachuting.),
9:00pm,Rough Guide,Taiwan/Hong Kong,
9:30pm,,,
10:00pm,Super Dave Osborne,,
10:30pm,The Adventures of the Black Stallion,Local Hero,
11:00pm,Catwalk,Downtown,
11:30pm,,,
