Time,Show,Episode
12:00am,Are You Being Served?,The Think Tank
12:30am,Keeping Up Appearances,
1:00am,"Yes, Minister",
1:30am,Dog City,
2:00am,Ocean Girl,
2:30am,The Anti-Gravity Room,
3:00am,Rocky & Bullwinkle,
3:30am,Woody Woodpecker,
4:00am,Peter Pan,
4:30am,Hurricanes,
5:00am,Dragon Ball Z,
5:30am,Pokémon,
6:00am,Dog City,Is It Arf?
6:30am,Pippi Longstocking,
7:00am,Anthony Ant,The Ant Who Would Be King / It's My Party
7:30am,Fuzzpaws,
8:00am,Wishbone,Bone of Arc
8:30am,Tiny Toon Adventures,Field of Honey
9:00am,The Flintstones,The Flintstones' New Neighbors
9:30am,The Jetsons,
10:00am,Alvin and the Chipmunks,
10:30am,The Huckleberry Hound Show,
11:00am,Garfield and Friends,
11:30am,The New Woody Woodpecker Show,
12:00pm,Pippi Longstockings,
12:30pm,Catdog,Send in the CatDog / Fishing for Trouble
1:00pm,The Wild Thornberrys,Lost and Foundation
1:30pm,The Angry Beavers,
2:00pm,Stickin' Around,
2:30pm,Batman Beyond,
3:00pm,ReBoot,Bad Bob
3:30pm,Shadow Raiders,Embers of the Past
4:00pm,Weird-Oh's,
4:30pm,The Powerpuff Girls,
5:00pm,Monster by Mistake,Entertaining Orville
5:30pm,George & Martha,The Icky Story / The Triple Dare
6:00pm,Watership Down,
6:30pm,The Composers' Specials,Rossini's Ghost
7:00pm,,
7:30pm,The Adventures of Shirley Holmes,The Case of the Precious Cargo
8:00pm,The Incredible Story Studio,A Wrinkle in Time
8:30pm,Flipper – The New Adventures,Wreck of the Zephyr
9:00pm,,
9:30pm,My Hometown,Young Hearts
10:00pm,The Anti-Gravity Room,
10:30pm,Warp,
11:00pm,System Crash,
11:30pm,Radio Active,Ethan Live
