Time,Show,Episode
12:00am,Are You Being Served?,The Club
12:30am,Keeping Up Appearances,
1:00am,"Yes, Minister",Equal Opportunities
1:30am,Student Bodies,
2:00am,Ocean Girl,
2:30am,The Anti-Gravity Room,Manga & Anime
3:00am,The Adventures of Rocky & Bullwinkle and Friends,
3:30am,The Woody Woodpecker Show,
4:00am,Fox's Peter Pan & the Pirates,
4:30am,Hey Arnold!,Parents Day
5:00am,Dragon Ball Z,
5:30am,Pokémon,Snow Way Out
6:00am,Kitty Cats,
6:30am,Once Upon a Hamster,
7:00am,Fuzzpaws,
7:30am,Batman: The Animated Series,
8:00am,Histeria!,
8:30am,Rupert,
9:00am,Bananas in Pyjamas,
9:30am,The Big Comfy Couch,
10:00am,Kitty Cats,
10:30am,Groundling Marsh,
11:00am,Fuzzpaws,
11:30am,Adventures of Tintin,
12:00pm,Animaniacs,
12:30pm,"Pinky, Elmyra & the Brain",
1:00pm,Maisy,
1:05pm,Wildlife,
1:10pm,Mopatop's Shop,
1:20pm,Jellabies,
1:25pm,nanalan',
1:30pm,The Country Mouse and City Mouse Adventures,
2:00pm,Bedtime Stories,
2:05pm,Enchanted Lands,
2:15pm,Happy Birthday,
2:25pm,The Toothbrush Family,
2:30pm,Archibald the Koala,
3:00pm,The Magic School Bus,
3:30pm,Uh Oh!,
4:00pm,Pokémon,Showdown at the Po-ké Corral
4:30pm,Dragon Ball Z,
5:00pm,Rugrats,Accidents Happen / Pee Wee Scouts
5:30pm,Hey Arnold!,Aptitude Test / Oskar Gets a Job
6:00pm,The New Addams Family,
6:30pm,I Was a Sixth Grade Alien,
7:00pm,The Worst Witch,
7:30pm,Big Wolf on Campus,
8:00pm,Back to Sherwood,
8:30pm,ReBoot,
9:00pm,The Adventures of Shirley Holmes,
9:30pm,Boy Meets World,
10:00pm,Student Bodies,
10:30pm,Goosebumps,
11:00pm,The New Addams Family,
11:29pm,Beasties,
