Time,Show,Episode
12:00am,Are You Being Served?,The Junior
12:30am,Keeping Up Appearances,A Picnic for Daddy
1:00am,"Yes, Minister",The Whiskey Priest
1:30am,Dog City,
2:00am,Ocean Girl,
2:30am,The Anti-Gravity Room,
3:00am,The Adventures of Rocky and Bullwinkle and Friends,
3:30am,Woody Woodpecker,
4:00am,Peter Pan,
4:30am,Hurricanes,
5:00am,Dragon Ball Z,
5:30am,Pokémon,
6:00am,Dog City,Radio Daze
6:30am,Pippi Longstocking,Pippi Doesn't Sell Her House
7:00am,Anthony Ant,The Sceptre of Antebellum / Weevil Fever
7:30am,Fuzzpaws,
8:00am,Wishbone,"Rosie, Oh! Rosie, Oh!"
8:30am,Tiny Toon Adventures,Rock and Roar
9:00am,The Flintstones,Room for Two
9:30am,The Jetsons,
10:00am,Alvin and the Chipmunks,
10:30am,The Huckleberry Hound Show,
11:00am,Garfield and Friends,Attention Getting Garfield / U.S. Acres: Swine Trek / It Must Be True!
11:30am,Dexter's Laboratory,
12:00pm,Pippi Longstocking,Pippi Doesn't Sell Her House
12:30pm,CatDog,
1:00pm,The Wild Thornberrys,Vacant Lot
1:30pm,The Angry Beavers,
2:00pm,Stickin' Around,
2:30pm,Batman Beyond,
3:00pm,ReBoot,Talent Night
3:30pm,Shadow Raiders,Worlds within Worlds
4:00pm,Weird-Ohs,
4:30pm,The Powerpuff Girls,Telephonies / Tough Love
5:00pm,Monster By Mistake,
5:30pm,George and Martha,The Scary Movie / The Book
6:00pm,Watership Down,
6:30pm,My Dairy,
7:00pm,Lassie,Bear Necessities
7:30pm,The Adventure of Shirley Holmes,The Case Of The Open Hand
8:00pm,The Incredible Story Studio,School Crazed
8:30pm,Flipper,Storm Island
9:00pm,,
9:30pm,My Hometown,Haunted Poetry
10:00pm,The Anti-Gravity Room,Legends
10:30pm,Alpha 2 Omega,
11:00pm,System Crash,Supernatural
11:30pm,Radio Active,The Gossip
