Time,Show,Episode,Image
12:00am,Are You Being Served?,Strong Stuff This Insurance,""
12:30am,Keeping Up Appearances,"Sea Fever, Part 2",""
1:00am,"Yes, Minister",Party Games (Part 2),""
1:30am,Gamespot TV,"",""
2:00am,Internet Tonight,"",""
2:30am,The Anti-Gravity Room,Fun and Games,""
3:00am,The Adventures of Rocky and Bullwinkle and Friends,"",""
3:30am,The Woody Woodpecker Show,"",""
4:00am,Fox's Peter Pan & the Pirates,"",""
4:30am,Hey Arnold!,Arnold Betrays Iggy / Helga and the Nanny,""
5:00am,Dragon Ball Z,Face Off on Namek,""
5:30am,Digimon,The Legend of the DigiDestined,""
6:00am,Kitty Cats,"",""
6:30am,Once Upon a Hamster,"",""
7:00am,Fuzzpaws,"",""
7:30am,Batman: The Animated Series,"",""
8:00am,The Flintstones,"",""
8:30am,Rupert,"",""
9:00am,Bananas in Pyjamas,"",""
9:30am,The Big Comfy Couch,"",""
10:00am,Kitty Cats,"",""
10:30am,Anatole,"",""
11:00am,Fuzzpaws,"",""
11:30am,The Magic School Bus,"",""
12:00pm,Animaniacs,"",""
12:30pm,Pinky and the Brain,A Pinky and the Brain Christmas,""
1:00pm,Maisy,"",""
1:05pm,Santa and the Tooth Fairies (1991),""
1:30pm,The Country Mouse and the City Mouse Adventures,"",""
2:00pm,Santa's First Christmas (1992),""
2:30pm,The Night Before Christmas (1994),""
3:00pm
3:25pm,Big Sister & Little Brother,"",""
3:30pm,Uh Oh!,"",""
4:00pm,Digimon,Departure for a New Continent,""
4:30pm,Dragon Ball Z,The Ruthless Frieza,""
5:00pm,Rugrats,Mommy's Little Assets / Chuckie's Wonderful Life,""
5:30pm,Tiny Toon Adventures,It's a Wonderful Tiny Toons Christmas Special,""
6:00pm,Rudolph the Red-Nosed Reindeer (1964),""
6:30pm
7:00pm,Santa Claus is Comin' to Town (1970),""
7:30pm
8:00pm,The Jetsons,A Jetson Christmas Carol,""
8:30pm,Boy Meets World,A Very Topanga Christmas,""
9:00pm,Alpha 2 Omega,"",""
9:30pm,Boy Meets World,Turnaround,""
10:00pm,Student Bodies,Career Day,""
10:30pm,Goosebumps,"The Ghost Next Door, Part 1",""
11:00pm,The New Addams Family,"Morticia, the Decorator",""
11:30pm,Beasties,A Better Mousetrap,""
