Time,Show,Episode,Image
12:00am,Are You Being Served?,The Pop Star,""
12:30am,Keeping Up Appearances,Onslow's Birthday,""
1:00am,Breaker High,New Kids on the Deck,""
1:30am,Student Bodies,"",""
2:00am,"","",""
2:30am,"","",""
3:00am,"","",""
3:30am,"","",""
4:00am,"","",""
4:30am,"","",""
5:00am,"","",""
5:30am,"","",""
6:00am,Kitty Cats,"",""
6:30am,Once Upon A Hamster,"",""
7:00am,Lassie,"",""
7:30am,Stickin' Around,"",""
8:00am,Histeria!,"",""
8:30am,Rupert,"",""
9:00am,The Big Comfy Couch,"",""
9:30am,Bedtime Stories,"",""
9:50am,Toothbrush Family,"",""
10:00am,Kitty Cats,"",""
10:30am,Shining Time Station,"",""
11:00am,Bananas in Pyjamas,"",""
11:30am,The Adventures of Dudley The Dragon,"",""
12:00pm,Pocket Dragon Adventures,"",""
12:30pm,Lassie,"",""
1:00pm,The Big Comfy Couch,"",""
1:30pm,Groundling Marsh,"",""
2:00pm,Kitty Cats,"",""
2:30pm,Rupert,"",""
3:00pm,My Hometown,"",""
3:30pm,Uh Oh!,"",""
4:00pm,Pokémon,"",""
4:30pm,Animaniacs,"",""
5:00pm,Rugrats,Journey to the Center of the Basement / A Very McNulty Birthday,""
5:30pm,Pinky and The Brain,"",""
6:00pm,The New Addams Family,Fester Goes on a Diet,""
6:30pm,The Odyssey,Whispers Like Thunder,""
7:00pm,Animorphs,"Face Off, Part 1",""
7:30pm,Freaky Stories,Animal Maggotism,""
8:00pm,ReBoot,Between a Raccoon and a Hard Place,""
8:30pm,Goosebumps,Monster Blood,""
9:00pm,The New Addams Family,Uncle Fester's Illness,""
9:30pm,Breaker High,Jimmy Behaving Badly,""
10:00pm,Student Bodies,Mags' Secret Admirer,""
10:30pm,The Odyssey,The Plague,""
11:00pm,Ocean Girl,Behind Enemy Lines,""
11:30pm,Are You Afraid of the Dark?,The Tale of the Twisted Claw,""
