Time,Show,Episode,Image
12:00am,The Man From U.N.C.L.E.,The Deadly Quest Affair,""
12:30am
1:00am,The Young Ones,Sick,""
1:30am,Bottom,Contest,""
2:00am,X-Men,"",""
2:30am,Samurai Pizza Cats,"",""
3:00am,"","",""
3:30am,"","",""
4:00am,"","",""
4:30am,"","",""
5:00am,Kitty Cats,Willie Makes Bubbles / Slither Snake Jake,""
5:30am,Hallo Spencer,(Spencerville’s version of “The Odyssey.”),""
6:00am,Ballooner Landing,(Tex Critter is missing after hide and seek.),""
6:30am,Poetree and Friends,"",""
7:00am,Happy Ness: The Secret of the Loch,"",""
7:30am,Alvin and The Chipmunks,"",""
8:00am,Once Upon a Hamster,Hairbrush Henry,""
8:30am,Eek! The Cat,"",""
9:00am,What-A-Mess,"",""
9:30am,"You're Not Elected, Charlie Brown (1972)",""
10:00am,Rugrats,Cradle Attraction / Moving Away,""
10:30am,The Wizard of Oz,The Day the Music Died,""
11:00am,Insektors,"",""
11:30am,Spider-Man,"",""
12:00pm,The Pink Panther,"",""
12:30pm,YTV News,"",""
1:00pm,Flipper,Mermaid Islannd,""
1:30pm
2:00pm,Courage of Black Beauty (1958),""
2:30pm
3:00pm
3:30pm,My Hometown,Brother's Keeper,""
4:00pm,Romuald the Reindeer,Migration World,""
4:15pm,(bullies),""
4:30pm,Mr. Magoo,"",""
5:00pm,Yogi Bear,"",""
5:30pm,"It's Spring Training, Charlie Brown (1992)",""
6:00pm,The World of Peter Rabbit and Friends,The Tale of Two Bad Mice and Johnny Town-Mouse,""
6:30pm,My Hometown,"",""
7:00pm,Flipper,Wedding Bell Blues,""
7:30pm
8:00pm,Rough Guide,Chile,""
8:30pm
9:00pm,Neon Rider,Twist in the Wind,""
9:30pm
10:00pm,The Hit List,"",""
10:30pm
11:00pm,Captain Power and the Soldiers of the Future,"",""
11:30pm,Super Dave Osborne,(Singer Liberty Silver),""
