Time,Show,Episode,Image
12:00am,Are You Being Served?,Christmas Crackers,""
12:30am,Keeping Up Appearances,How to Go on Holiday Without Really Trying,""
1:00am,Breaker High,"",""
1:30am,"","",""
2:00am,"","",""
2:30am,"","",""
3:00am,"","",""
3:30am,"","",""
4:00am,"","",""
4:30am,"","",""
5:00am,"","",""
5:30am,"","",""
6:00am,Meena,Count Your Chickens,""
6:15am,Dividing The Mango,""
6:30am,Kitty Cats,A Very Special Ball / The Clown Show,""
7:00am,The Adventures of Dudley The Dragon,Once Upon A Time,""
7:30am,Sky Dancers,"",""
8:00am,Peter Pan,"",""
8:30am,Once Upon A Hamster,(Hammy rescues a turtle),""
9:00am,Madeline,"",""
9:30am,Alvin and the Chipmunks,"",""
10:00am,Bump In The Night,'Twas the Night Before Bumpy (Part 2 of 3),""
10:30am,"You're the Greatest, Charlie Brown",""
11:00am,Insektors,"",""
11:30am,ReBoot,"",""
12:00pm,Crystal Clear,""
12:30pm,YTV News,WorldWorx,""
1:00pm,"Eerie, Indiana",The Broken Record,""
1:30pm,Doug,Bum Rap / Doug & Patti Sittin' in a Tree,""
2:00pm,Santa Claus Parade,""
2:30pm
3:00pm
3:30pm,The Night Before Christmas (1994),""
4:00pm
4:30pm,The Land Before Time (1988),""
5:00pm
5:30pm
6:00pm,The Red Shoes,""
6:30pm,Little Orphan Annie's Very Animated Christmas,""
7:00pm,Madeline,"",""
7:30pm,The Mousehole Cat,""
8:00pm,Holiday Affair (1949),""
8:30pm
9:00pm
9:30pm
10:00pm,Are You Afraid of the Dark?,The Tale of the Thirteenth Floor,""
10:30pm,Deepwater Black,Reflections,""
11:00pm,The Anti-Gravity Room,Legends,""
11:30pm,Super Dave's All-Stars,"",""
