Time,Show,Episode,Youtube Video ID
12:00am,The Man from U.N.C.L.E.,The Take Me to Your Leader Affair,
12:30am,,,
1:00am,"Yes, Prime Minister",One of Us,
1:30am,The Young Ones,,
2:00am,YTV News,,
2:25am,YTV In Class / Cable In The Classroom,,
3:00am,,,
3:30am,,,
4:00am,,,
4:30am,,,
5:00am,Kitty Cats,,
5:30am,Hallo Spencer,,
6:00am,Ballooner Landing,,
6:30am,Maya The Bee,,
7:00am,Rupert,,
7:30am,Wishbone,,
8:00am,Bump In The Night,,
8:30am,Marie-Soleil,,
9:00am,Ballooner Landing,,
9:30am,Bananas in Pyjamas,,
10:00am,PJ Katie's Farm,,
10:15am,Under The Umbrella Tree,,
10:30am,Kitty Cats,,
11:00am,The Big Comfy Couch,,
11:30am,The Adventures of Dudley the Dragon,,
12:00pm,Sailor Moon,,
12:30pm,Camp Cariboo,,
1:00pm,Tell A Tale Town,,
1:30pm,Take Part,,
2:00pm,Shining Time Station,,
2:30pm,Groundling Marsh,,
3:00pm,Garfield,,
3:30pm,The Flintstones,,
4:00pm,Real Adventures of Jonny Quest,,
4:30pm,Aaahh!!! Real Monsters,,
5:00pm,Spider-Man,,
5:30pm,The Secret World of Alex Mack,,
6:00pm,Sailor Moon,,
6:30pm,Stickin' Around,Aaand Action! / Night of the Living Dumpster,
7:00pm,Goosebumps,Let's Get Invisible,
7:30pm,Are You Afraid Of The Dark?,The Tale of Jake and the Leprechaun,
8:00pm,What-A-Mess / All Dogs Go To Heaven: The Series[Note 1],,
8:30pm,,,
9:00pm,,,
9:30pm,Super Dave Osborne,Diet Park,
10:00pm,Tarzan,Tarzan and the Killer Lion,
10:30pm,Catwalk,"That's No Lady, That's His Wife",
11:00pm,,,
11:30pm,The New Red Green Show,,
