Time,Show,Episode,Image
12:00am,SpongeBob SquarePants,Krabby Patty Creature Feature / Teacher's Pests,""
12:30am,Squid Noir / ScavengerPants,""
1:00am,Cuddle E. Hugs / Pat the Horse,""
1:30am,The Loud House,Space Jammed / Crown and Dirty,""
2:00am,The Goonies (1985),""
2:30am
3:00am
3:30am
4:00am
4:30am,The Stanley Dynamic,The Stanley Halloween,""
5:00am,The Loud House,The Orchid Grief / Forks and Knives Out,""
5:30am,SpongeBob SquarePants,Krabby Patty Creature Feature / Teacher's Pests,""
6:00am,Best & Bester,The Big Game / Get Your Skate On,""
6:28am,Piñata Smashlings,Musical Short - Gruel's Rap,""
6:30am,Cloudy With a Chance of Meatballs,Invent This!; Princess Kittymittens,""
7:00am,Mermicorno: Starfall,"Dance, Magic, Dance!",""
7:28am,Piñata Smashlings,Meet The Characters,""
7:30am,SpongeBob SquarePants,"Knock Knock, Who's There? / Pat Hearts Squid",""
8:00am,Lighthouse Louie / Hiccup Plague,""
8:30am,A Cabin in the Kelp / The Hankering,""
9:00am,Kamp Koral: SpongeBob's Under Years,"Hill Fu / Sun's Out, Fun's Out",""
9:30am,The Patrick Star Show,Thanks But No Thanksgiving,""
10:00am,The Ant Bully (2006),""
10:30am
11:00am
11:30am
12:00pm,The LEGO Movie (2014),""
12:30pm
1:00pm
1:30pm
2:00pm,SpongeBob SquarePants,The Ghost of Plankton / My Two Krabses,""
2:30pm,"Knock Knock, Who's There? / Pat Hearts Squid",""
3:00pm,Pokémon Horizons: The Series,Sparkle! The Glow of Flame and Art!,""
3:30pm,The Patrick Star Show,Thanks But No Thanksgiving,""
4:00pm,The Ant Bully (2006),""
4:30pm
5:00pm
5:30pm
6:00pm,The LEGO Movie (2014),""
6:30pm
7:00pm
7:30pm
8:00pm,The Ant Bully (2006),""
8:30pm
9:00pm
9:30pm
10:00pm,The LEGO Movie (2014),""
10:30pm
11:00pm
11:30pm
