Time,Show,Episode,Youtube Video ID
12:00am,SpongeBob SquarePants,Tango Tangle / Necro-Nom-Nom-Nom-i-con,
12:30am,PL-1413 / In the Mood to Feud,,
1:00am,Mooned! / Hysterical History,,
1:30am,The Loud House,Fam Scam / Farm to Unstable,
2:00am,Undercover Grandpa (2017),,
2:30am,,,
3:00am,,,
3:30am,,,
4:00am,Fright Krewe,The Blood Awakening (Part 1),
4:30am,The Blood Awakening (Part 2),,
5:00am,The Loud House,Diss the Cook / For Sale by Loner,
5:30am,SpongeBob SquarePants,Momageddon / Pet the Rock,
6:00am,Best & Bester,Chess-a-Pult / Smart and Smarter,
6:28am,Piñata Smashlings,Musical Short - Christmas,
6:30am,Cloudy With a Chance of Meatballs,Sardinasuarus / Flint vs. Flint,
7:00am,Scaredy Squirrel,I Think Therefore I Clean / Soup of a Nova,
7:25am,Piñata Smashlings,Baking with Berry Boo,
7:30am,SpongeBob SquarePants,Kreepaway Kamp (Part 1),
8:00am,Kreepaway Kamp (Part 2),,
8:25am,The Loud House,Fright Bite / The Loudly Bones,
8:50am,The Patrick Star Show,Too Many Patricks / Much Tofu About Nothing,
9:15am,3 Amigonauts,Hot Dog Day Afternoon / School of Rock,
9:40am,Ollie's Pack,Back to the Pack,
10:05am,Best & Bester,Chess-a-Pult / Smart & Smarter,
10:30am,Cloudy With a Chance of Meatballs,Sardinasaurus / Flint vs. Flint,
10:55am,Scaredy Squirrel,I Think Therefore I Clean / Soup of a Nova,
11:20am,3 Amigonauts,Hot Dog Day / School of Rock,
11:45am,Best & Bester,Robo Stomp,
12:00pm,Mermicorno: Starfall,Entrenched,
12:25pm,Cloudy With a Chance of Meatballs,Sardinasarus / Flint vs. Flint,
12:50pm,Scaredy Squirrel,I Think Therefore I Clean / Soup of a Nova,
1:15pm,3 Amigonauts,Hot Dog Day Afternoon / School of Rock,
1:40pm,Ollie's Pack,Back to the Pack,
2:05pm,Best & Bester,Chess-a-Pult / Smart & Smarter,
2:30pm,Cloudy With a Chance of Meatballs,Sardinasarus / Flint vs. Flint,
3:00pm,SpongeBob SquarePants,Snow Yellow,
3:30pm,The Dirty Bubble Bass / Sheldon SquarePants,,
4:00pm,The Loud House,Fright Bite / The Loudly Bones,
4:30pm,Runaway McBride / High Crimes,,
5:00pm,SpongeBob SquarePants,Kreepaway Kamp (Part 1),
5:30pm,The Patrick Star Show,Too Many Patricks / Much Tofu About Nothing,
6:00pm,SpongeBob SquarePants,Snow Yellow,
6:30pm,The Dirty Bubble Bass / Sheldon SquarePants,,
7:00pm,How to Train Your Dragon 2 (2014),,
7:30pm,,,
8:00pm,,,
8:30pm,,,
9:00pm,How to Train Your Dragon 2 (2014),,
9:30pm,,,
10:00pm,,,
10:30pm,,,
11:00pm,Make It Pop,I Am Genius,
11:30pm,Homecoming,,
