Time,Show,Episode,Image
12:00am,SpongeBob SquarePants,Single-Celled Defense / Buff for Puff,""
12:30am,We Heart Hoops / SpongeChovy,""
1:00am,BassWard / Squidiot Box,""
1:30am,The Loud House,Rumor Has It / Training Day,""
2:00am,Hotel Transylvania (2012),""
2:30am
3:00am
3:30am
4:00am,The Stanley Dynamic,The Stanley Luck,""
4:30am,The Stanley Heist,""
5:00am,The Loud House,Director's Rut / Friday Night Fights,""
5:30am,SpongeBob SquarePants,"Big Top Flop / Sandy, Help Us!",""
6:00am,Best & Bester,Chess-a-Pult / Smart & Smarter,""
6:28am,Piñata Smashlings (shorts),Gruel's Trap,""
6:30am,Piñata Smashlings,Don't Be Gruel,""
7:00am,Tales of the Teenage Mutant Ninja Turtles,Leo Nardo Stands Alone!,""
7:28am,Piñata Smashlings (shorts),Tutti Bel's Gloomy Day,""
7:30am,SpongeBob SquarePants,Tango Tangle / Necro-Nom-Nom-Nom-I-Con,""
8:00am,PL-1413 / In the Mood to Feud,""
8:30am,Mooned! / Hysterical History,""
9:00am,Kamp Koral: SpongeBob's Under Years,Midnight Snack Attack / Hot Pearl-tato,""
9:30am,The Patrick Star Show,Late for Breakfast / Bummer Jobs,""
10:00am,Hotel Transylvania 2 (2015),""
10:30am
11:00am
11:30am
12:00pm,Hotel Transylvania 3 (2018),""
12:30pm
1:00pm
1:30pm
2:00pm,SpongeBob SquarePants,Mooned! / Hysterical History,""
2:30pm,Tango Tangle / Necro-Nom-Nom-Nom-I-Con,""
3:00pm,Pokémon Horizons: The Search for Laqua,The Terapagos I Don't Know,""
3:30pm,Piñata Smashlings,"Super Mega Amazing Smashlings, Hurray!",""
3:45pm,Jet's B Team,""
4:00pm,Hotel Transylvania 2 (2015),""
4:30pm
5:00pm
5:30pm
6:00pm,Hotel Transylvania 3 (2018),""
6:30pm
7:00pm
7:30pm
8:00pm,Hotel Transylvania 2 (2015),""
8:30pm
9:00pm
9:30pm
10:00pm,Hotel Transylvania 3 (2018),""
10:30pm
11:00pm
11:30pm
