Time,Show,Episode,Image
12:00am,SpongeBob SquarePants,Ugh,""
12:30am,Born Again Krabs / I Had an Accident,""
1:00am,Krabby Land / The Camping Episode,""
1:30am,The Loud House,Singled Out / Brave the Last Dance,""
2:00am,Turbo (2013),""
2:30am
3:00am
3:30am
4:00am,The Stanley Dynamic,The Stanley Sabotage,""
4:30am,The Stanley Spy,""
5:00am,The Loud House,The Last Laugh / Driver's Dread,""
5:30am,SpongeBob SquarePants,New Student Starfish / Clams,""
6:00am,Best & Bester,Rocky the Vote / One Star Hotel,""
6:30am,Cloudy With a Chance of Meatballs,Mermaid You Look / Mrs. Tinklebottom,""
7:00am,Mermicorno: Starfall,Ghost Town,""
7:30am,SpongeBob SquarePants,Broken Alarm / Karen's Baby,""
8:00am,Shell Games / Senior Discount,""
8:30am,Mind the Gap / Dirty Bubble Returns,""
9:00am,Kamp Koral: SpongeBob's Under Years,Are You Afraid of the Dork?,""
9:30am,The Patrick Star Show,Driven to Drive / A Patty in Time,""
10:00am,Madagascar (2005),""
10:30am
11:00am
11:30am
12:00pm,Madagascar: Escape 2 Africa (2008),""
12:30pm
1:00pm
1:30pm
2:00pm,SpongeBob SquarePants,Sandy's Nutty Nieces / Insecurity Guards,""
2:30pm,Broken Alarm / Karen's Baby,""
3:00pm,Pokémon Horizons: The Series,Put Your Heart Into It!,""
3:30pm,The Patrick Star Show,Driven to Drive / A Patty in Time,""
4:00pm,Madagascar (2005),""
4:30pm
5:00pm
5:30pm
6:00pm,Madagascar: Escape 2 Africa (2008),""
6:30pm
7:00pm
7:30pm
8:00pm,Madagascar (2005),""
8:30pm
9:00pm
9:30pm
10:00pm,Madagascar: Escape 2 Africa (2008),""
10:30pm
11:00pm
11:30pm
