Time,Show,Episode
12:00am,Get Smart,
12:30am,Flipper,Junior Ranger
1:00am,The Cisco Kid,
1:30am,Red Dwarf,DNA
2:00am,Home and Away,
2:30am,Doctor Who,
3:00am,,
3:30am,,
4:00am,,
4:30am,,
5:00am,,
5:30am,,
6:00am,The Waterville Gang,
6:30am,OWL/TV,
7:00am,Mr. Wizard's World,
7:30am,Little Mermaid,
8:00am,Muppet Babies,
8:30am,Super Dave Osborne,
9:00am,Nickelodeon GUTS,
9:30am,Teenage Mutant Ninja Turtles,
10:00am,The Super Mario Bros. Super Show!,Plumbers of the Year / The Adventures of Sherlock Mario
10:30am,Cadillacs and Dinosaurs,Rogue
11:00am,Conan The Adventurer,The Night of Fiery Tears
11:30am,Bucky O'Hare and the Toad Wars,
12:00pm,Rocky & Bullwinkle,
12:30pm,Video & Arcade Top 10,
1:00pm,Dance Mix,
1:30pm,The Littlest Hobo,Wolf Hunt
2:00pm,Maniac Mansion,Love Thy Neighbour
2:30pm,The Edison Twins,The Mystery of the Maze
3:00pm,Dog House,
3:30pm,The Super Mario Bros. Super Show!,
4:00pm,Biker Mice From Mars,
4:30pm,Captain Planet and the Planeteers,
5:00pm,The Hit List with Tarzan Dan,
5:30pm,,
6:00pm,They Must Be Mad!,Cliff diving; truck racing; ferry boat tugging; sail boarding world championships; young sumo hopefuls; kayak polo; car rally
6:30pm,Garfield and Friends,
7:00pm,Are You Afraid of the Dark?,The Tale of the Shiny Red Bicycle
7:30pm,Roundhouse,First Date
8:00pm,Mary Jane Harper Cried Last Night (1977),
8:30pm,,
9:00pm,,
9:30pm,,
10:00pm,Maniac Mansion,Turner: the Rebellious Years
10:30pm,The Red Green Show,Car Pool
11:00pm,YTV News,
11:30pm,The Comedy Mill,an unusual card game; scenes from a traffic jam; Aretha Franklin clone; women drivers
