Time,Show,Episode
12:00am,Bonanza,
12:30am,,
1:00am,Carol Burnett and Friends,
1:30am,Home and Away,
2:00am,The New Leave It To Beaver,
2:30am,Doctor Who,
3:00am,,
3:30am,,
4:00am,,
4:30am,,
5:00am,,
5:30am,,
6:00am,The Waterville Gang,
6:30am,Size Small,
7:00am,Brownstone Kids,(Children learn about setting up an aquarium)
7:30am,Adventures of the Little Mermaid,
8:00am,Muppet Babies,
8:30am,Casper,
9:00am,My Little Pony Tales,
9:30am,The Super Mario Bros. Super Show!,
10:00am,Teenage Mutant Ninja Turtles,
10:30am,Samurai Pizza Cats,Pizza Cat Performance Review
11:00am,Ghostbusters,
11:30am,Captain N: The Game Master,
12:00pm,Bucky O'Hare and the Toad Wars,
12:30pm,You Can't Do That On Television!,
1:00pm,The Forest Rangers,(A gun that was being held at the store for Macleod is accidentally sold to Aggie.)
1:30pm,The Little Vampire,
2:00pm,Spatz,Local Hero
2:30pm,Five Children and It,Episode 6 of 6
3:00pm,Profiles of Nature,The Cougar
3:30pm,Do It For Yourself,(How to prune a hibiscus; caulking around receptacles and baseboards; toaster repair.)
4:00pm,The Cisco Kid,Bullets and the Booby Trap
4:30pm,Flipper,Flipper and the Fugitive: Part 1
5:00pm,The Littlest Hobo,The Loneliest Day of the Week
5:30pm,Wild & Crazy Kids,
6:00pm,The Hit List,
6:30pm,,
7:00pm,Rock n' Talk Special Edition,
7:30pm,Stingray,
8:00pm,The Undercover Gang (1988),
8:30pm,,
9:00pm,,
9:30pm,Tough to be Young,(A father learns that his son is using drugs in order to perform well in school.)
10:00pm,Hillside,
10:30pm,StreetNOISE,(Car stereos; Indie records; painting; divorce; Jack the Ripper.)
11:00pm,Dance Mix,
11:30pm,Smith and Smith,
