Time,Show,Episode,Image
12:07am,Are You Being Served?,Episode 10,""
12:45am,Keeping Up Appearances,Episode 16,""
1:23am,My Family,Fitting Punishment,""
1:55am,The New Addams Family,Morticia's Dilemma,""
2:30am,Radio Active,The Leader,""
3:00am,System Crash,Parents,""
3:30am,Dragon Ball,General Blue Attacks!,""
4:00am,Dragon Ball Z,Doomsday Broadcast,""
4:30am,Uh Oh!,Episode 100,""
5:00am,Girlstuff/Boystuff,The Making of... / The Afternoon Snack Club,""
5:30am,Yvon of the Yukon,Your Bill is Waiting,""
6:00am,Uh Oh!,Episode 101,""
6:30am,Stickin' Around,Doll Day Afternoon / Send in the Clones,""
7:00am,George Shrinks,Round Up the Usual Insects,""
7:30am,Flying Rhino Junior High,Junior High Noon,""
8:00am,Jacob Two-Two,Jacob Two-Two and the Pet Peeve,""
8:30am,Mona the Vampire,Spirit of the Woods / The Bogeyman Cometh,""
9:00am,Rupert,Rupert and the Sage of Um,""
9:30am,Care Bears,Bravest of the Brave,""
10:00am,Seven Little Monsters,My Favorite Crustacean,""
10:30am,Monster By Mistake,Thin Ice,""
11:00am,Stickin' Around,Disciplinary Action / This is a Hiccup!,""
11:30am,Flying Rhino Junior High,Junior High Noon,""
12:00pm,SpongeBob SquarePants,Nasty Patty / Idiot Box,""
12:30pm,Hamtaro,Clubhouse Intruders,""
12:55pm,Pingu,Pingu Has a Fishing Competition,""
1:00pm,Care Bears,Factory of Uncaring,""
1:30pm,George Shrinks,Round Up the Usual Insects,""
2:00pm,Mona the Vampire,The Cat Lady's Meow / The Wereclown,""
2:30pm,D'Myna Leagues,Joke's On You,""
3:00pm,The Cramp Twins,Swamp Fever / Kung Foolish,""
3:30pm,Jacob Two-Two,Jacob Two-Two and the Pet Peeve,""
4:00pm,Beyblade V Force,Hot Rock,""
4:30pm,Yu-Gi-Oh!,Noah's Final Threat,""
5:00pm,The Fairly OddParents,Foul Balled / The Boy Who Would Be Queen,""
5:30pm,Martin Mystery,It Came From Inside the Box,""
6:00pm,SpongeBob SquarePants,Nasty Patty / Idiot Box,""
6:30pm,"The Adventures of Jimmy Neutron, Boy Genius",Normal Boy / Birth of a Salesman,""
7:00pm,Martin Mystery,They Lurk Beneath,""
7:30pm,Yvon of the Yukon,Mission to Planet Yvon,""
8:00pm,Dragon Ball,"Watch Out, Launch!",""
8:30pm,Dragon Ball Z,Meet Me in the Ring,""
9:00pm,Mystery Hunters,Aurora Borealis / Vampires,""
9:30pm,Timeblazers,Mother of All Inventions,""
10:00pm,Fries With That?,Help Unwanted,""
10:30pm,Mental Block,Kiss & Tell,""
11:00pm,The New Addams Family,"Morticia, The Breadwinner",""
11:30pm,My Family,They Shoot Harpers,""
