Time,Show,Episode,Youtube Video ID
12:00am,Thunderbirds,"Trapped in the Sky, Part 1",
12:30am,"Trapped in the Sky, Part 2",,
1:00am,"Pit of Peril, Part 1",,
1:30am,"Pit of Peril, Part 2",,
2:00am,"Sun Probe, Part 1",,
2:30am,"Sun Probe, Part 2",,
3:00am,"The Uninvited, Part 1",,
3:30am,"The Uninvited, Part 2",,
4:00am,"The Mighty Atom, Part 1",,
4:30am,"The Mighty Atom, Part 2",,
5:00am,"Vault of Death, Part 1",,
5:30am,"Vault of Death, Part 2",,
6:00am,Uh Oh!,Episode 86,
6:30am,Monster By Mistake,Home Alone,
7:00am,Beasties,"Other Visits, Part 1",
7:30am,"Other Visits, Part 2",,
8:00am,Transformers: Energon,Energon Grid,
8:30am,Is Rodimus Enemy Or Foe?,,
9:00am,X-Men: Evolution,"The Cauldron, Part 1",
9:30am,"The Cauldron, Part 2",,
10:00am,Teen Titans,Sisters,
10:30am,Justice League,"Starcrossed, Part 1",
11:00am,"Starcrossed, Part 2",,
11:30am,"Starcrossed, Part 3",,
12:00pm,Pokémon Advanced,"Ready, Willing and Sableye",
12:30pm,Digimon Frontier,Lucemon on the Loose,
1:00pm,Video & Arcade Top 10,Episode 35,
1:30pm,Zixx: Level One,Phunkee Zee,
2:00pm,Knights of the Zodiac,New Era of Heroic Legends,
2:30pm,Beasties,"Maximal, No More",
3:00pm,The Boy,If You See What I Mean,
3:30pm,Astro Boy,March of the Micro Bears,
4:00pm,Justice League,Secret Origins,
4:30pm,,,
5:00pm,,,
5:21pm,Superfriends,Rock n' Roll Space,
5:30pm,The Boy,Jack Flash,
6:00pm,Zixx: Level One,In for a Penny,
6:30pm,Freaky Stories,A Fishy Story / Apologies to Steinbeck / Dumped in the Outback / The Creeping Curse of the Mummy's Tomb,
7:00pm,Yvon of the Yukon,Scent of a Frenchman,
7:30pm,Fries With That?,Coach Pattie,
8:00pm,Mystery Hunters,Hypnosis / Pet Psychics,
8:30pm,Girlz TV,Episode 61,
9:00pm,Hackers (1995),,
9:30pm,,,
10:00pm,,,
10:30pm,,,
11:00pm,YTV's Hit List,Episode 14,
11:30pm,,,
