Time,Show,Episode
12:07am,Are You Being Served?,Fifty Years On
12:40am,Keeping Up Appearances,Episode 35
1:17am,My Family,The Mummy Returns
1:53am,Mystery Hunters,Loch Ness / Whooper
2:30am,Ready or Not,Where Do I Belong?
3:00am,Fries with That?,Undercover Guy
3:30am,Dragon Ball,Yamcha vs. Tien!
4:00am,Teen Titans,"Apprentice, Part 1"
4:30am,Yu-Gi-Oh!,"The Master of Magicians, Part 2"
5:00am,Hamtaro,The Flying Carp
5:30am,Jacob Two-Two,Jacob Two-Two and The Scholars for Dollars
6:00am,Seven Little Monsters,You Are What You Eat
6:30am,Hamtaro,The Ham-Ham Express
7:00am,The Woody Woodpecker Show,Inn Trouble/Wishful
7:30am,Rugrats,Rasing Dil/No Naps
8:00am,SpongeBob SquarePants,The Great Snail Race / Mid-Life Crustacean
8:30am,Mona the Vampire,Wrath Of Thor/Pied Piper
9:00am,Care Bears,Caring Crystals / Best Way To Make Friends
9:30am,Monsters by Mistake,Back In Time
10:00am,Rupert,Rupert and the Marsh Mystery
10:30am,Seven Little Monsters,My Fave Crustacean/Pennies For Seven
11:00am,Hamtaro,Who Stole My Shoe?
11:30am,Flying Rhino Junior High,Weather Waterloo
12:00pm,"The Adventures of Jimmy Neutron, Boy Genius",Billion Dollar Boy / The Mighty Wheezers
12:30pm,Jacob Two-Two,Jacob Two-Two and the Doubtful Double Agent
1:00pm,George Shrinks,If It Ain't Broke
1:30pm,Care Bears,Grumpy's Little Friend / One Million Care Bears
2:00pm,Mona the Vampire,Polyester Power Suit / The Droll Troll
2:30pm,Flying Rhino Junior High,Pal 9000
3:00pm,Jacob Two-Two,Jacob Two Two & The Furry Felon
3:30pm,Martin Mystery,Terror From The Sky
4:00pm,"The Adventures of Jimmy Neutron, Boy Genius",Billion Dollar Boy / The Mighty Wheezers
4:30pm,Teen Titans,"Apprentice, Part 2"
5:00pm,The Fairly OddParents,Truth or Cosmoquences / Beach Bummed
5:30pm,The Powerpuff Girls,Collect Her / Supper Villain
6:00pm,SpongeBob SquarePants,The Great Snail Race / Mid-Life Crustacean
6:30pm,Jacob Two-Two,Jacob Two-Two and the Socks Dimension
7:00pm,Martin Mystery,Body Swapper
7:30pm,Yu-Gi-Oh!,"The Master of Magicians, Part 3"
8:00pm,Dragon Ball,Yamcha's Broken Dream
8:30pm,Inuyasha,Yura Of The Demon Hair
9:00pm,Mystery Hunters,Ambrose Small / Missing Princess
9:30pm,Fries with That?,The Return Of A Man Called Smith
10:00pm,Radio Active,Morgan Unplugged
10:30pm,Fries With That?,Alex's Last Chapter
11:00pm,Ready or Not,Glamour Girl
11:30pm,My Family,You Don't Know Jack
