Time,Show,Episode
12:07am,Are You Being Served?,Episode 5
12:45am,Keeping Up Appearances,Episode 11
1:23am,My Family,Handful of Dust
1:55am,The New Addams Family,My Fair Cousin Itt
2:30am,Radio Active,The Poet
3:00am,System Crash,Love & Romance
3:30am,Dragon Ball,Bulma's House in West City!
4:00am,Dragon Ball Z,Saving Throw
4:30am,Uh Oh!,Episode 93
5:00am,Girlstuff/Boystuff,Discount Fever / Citizen Cane
5:30am,Yvon of the Yukon,Teeth of the Matter
6:00am,Uh Oh!,Episode 94
6:30am,Stickin' Around,It's My Letters / Do The Hokey-Pokey
7:00am,George Shrinks,Hound of the Bathervilles
7:30am,The New Woody Woodpecker Show,Episode 19
8:00am,Rugrats,Incredible Shrinking Babies / Miss Manners
8:30am,Mona the Vampire,Terror in Toon Town / Ghost in the Knight
9:00am,Rupert,Rupert and the Chalk Drawing
9:30am,Care Bears,The Great Race
10:00am,Seven Little Monsters,April Fools
10:30am,Monster by Mistake,Live From Pickford
11:00am,Stickin' Around,"The Good, The Bad and the Bradley / Bye Bye Baby Birdie"
11:30am,Flying Rhino Junior High,Pal 9000
12:00pm,SpongeBob SquarePants,S.B 129 / Karate Choppers
12:30pm,Hamtaro,The Ham-Ham Express
12:55pm,Pingu,Pingu and the Paper Aeroplane
1:00pm,Care Bears,Grumpy The Clumsy / Carrot
1:30pm,George Shrinks,Hound of the Bathervilles
2:00pm,Mona the Vampire,Vampire Hunter / Sounds Of
2:30pm,D'Myna Leagues,Oh Brother
3:00pm,Pokémon Advanced,Just One of the Geysers
3:30pm,Jackie Chan Adventures,He Does His Own Stunts
4:00pm,The Fairly OddParents,Dream Goat / The Same Game
4:30pm,The Powerpuff Girls,Toast of Town / Divide & Conquer
5:00pm,Yu-Gi-Oh!,"Merger of the Big Five, Part 3"
5:30pm,Beyblade,Bigger The Cyber Driger...
6:00pm,SpongeBob SquarePants,S.B 129 / Karate Choppers
6:30pm,The Fairly OddParents,When Pants Attackc
7:00pm,My Life as a Teenage Robot,Desired To Kill / Shell Game
7:30pm,Yvon of the Yukon,Ten Little Idiots
8:00pm,Dragon Ball,Commander Red Fights Back!
8:30pm,Dragon Ball Z,Ghost from Tomorrow
9:00pm,Radio Active,Blackmail
9:30pm,Fries With That?,Metal Mouth
10:00pm,Ready or Not,Family Therapy
10:30pm,Big Wolf On Campus,Frank Stein
11:00pm,The New Addams Family,Grandpapa Addams
11:30pm,My Family,The Lost Weekend
