Time,Show,Episode,Image
12:00am,Justice League,"A Better World, Part 1",""
12:30am,Superfriends,Journey Into Blackness / Cycle Gang / Dive to Disaster,""
1:00am,Teen Titans,Final Exam,""
1:30am,He-Man and the Masters of the Universe,Out of Past,""
2:00am,X-Men: Evolution,Under Lock and Key,""
2:30am,Heavy Gear: The Animated Series,The Tournament,""
3:00am,Knights of the Zodiac,Phoenix the Firebird,""
3:30am,Thunderbirds,"Operation Crash Dive, Part 1",""
4:00am,Jackie Chan Adventures,The J-Tots,""
4:30am,Uh Oh!,Episode 231,""
5:00am,Medabots,Rough on a Hot Tin Cat,""
5:30am,Beyblade V-Force,Raising Kane!!,""
6:00am,Uh Oh!,Episode 86,""
6:30am,Seven Little Monsters,Episode 15,""
7:00am,Dexter's Laboratory,Tee Party / Dexter's Wacky Races,""
7:30am,The New Woody Woodpecker Show,Episode 21,""
8:00am,Stuart Little,Episode 5,""
8:30am,Chalkzone,The Skrawl / Pie Day / Secret Passages / In the Zone (Song),""
9:00am,Hey Arnold!,Part Time Friends / Runaway Float,""
9:30am,"The Adventures of Jimmy Neutron, Boy Genius",Party at Neutron's / Broadcast,""
10:00am,SpongeBob SquarePants,Krabbyland / The Camping Episode,""
10:30am,The Fairly OddParents,Crime Wave / Odd Ball,""
11:00am,All Grown Up!,Chuckie's In Love,""
11:30am,Jacob Two Two,Jacob Two Two Vs. The Hooded Fang,""
12:00pm,Yvon of the Yukon,Really Odd Couple,""
12:30pm,Girlstuff/Boystuff,The Lake / Klingon,""
1:00pm,Martin Mystery,Shriek From Beyond,""
1:30pm,The Boy,Fish N Chips,""
2:00pm,Moville Mysteries,Crushed by an Angel,""
2:30pm,Freaky Stories,The Big Queasy,""
3:00pm,Mystery Hunters,Bermuda Triangle / Cave,""
3:30pm,Timeblazers,Mother of all Inventions,""
4:04pm,Getting There (2002),""
4:30pm
5:00pm
5:30pm
6:00pm,Jacob Two-Two,Jacob Two Two Vs. The Hooded Fang,""
6:30pm,Mental Block,Danger Boy,""
7:00pm,YTV's Hit List,Episode 28,""
7:30pm
8:00pm,Trading Spaces: Boys vs. Girls,Evan Vs. Rachael,""
8:30pm,Burnsey Vs. Shannon,""
9:00pm,Girlz TV,Episode 42,""
9:30pm,Mystery Hunters,Animal Talk / Mexican Mummies,""
10:00pm,Timeblazers,Mother of all Inventions,""
10:30pm,2030 CE,The Saboteur,""
11:00pm,Breaker High,The Deck Files,""
11:30pm,Ready or Not,"I Do, I Don't",""
