Time,Show,Episode
12:00am,Justice League,Maid of Honor
12:30am,,
1:00am,Teen Titans,Mask
1:30am,He-Man and the Masters of the Universe,Rattle of the Snake
2:00am,X-Men: Evolution,Blind Alley
2:30am,Heavy Gear: The Animated Series,All Star Gears
3:00am,Knights of the Zodiac,Save Sienna
3:30am,Thunderbirds,"Uninvited, Part 2"
4:00am,Jackie Chan Adventures,Samurai Ratso
4:30am,Uh Oh!,Episode 115
5:00am,Medabots,Thanks For The Memories
5:30am,Beyblade,Battle Tower Showdown
6:00am,Uh Oh!,Episode 116
6:30am,Seven Little Monsters,Spooky
7:00am,Dexter's Laboratory,Dexter the Barbarian / Tuber Time / Sore Eyes
7:30am,The New Woody Woodpecker Show,Bonus Round Woody / Winnie at the Ball / Date with Destiny
8:00am,The Wild Thornberrys,Operation Valentine
8:30am,ChalkZone,Pop Goes the Balloon / Snap Builds His Dream House / Fireplug Ballet / There You Are (Song)
9:00am,Hey Arnold!,Arnold's Valentine
9:30am,"The Adventures of Jimmy Neutron, Boy Genius",Love Potion #976/J
10:00am,SpongeBob SquarePants,Valentine's Day / The Paper
10:30am,The Fairly OddParents,Love Struck
11:00am,All Grown Up!,"It’s Cupid, Stupid"
11:30am,Charlie Brown,"Be My Valentine, Charlie Brown"
12:00pm,Yvon of the Yukon,Valentine's Day
12:30pm,Girlstuff/Boystuff,Assess This / The Valentine Curse
1:00pm,Martin Mystery,Mark of the Shapeshifter
1:30pm,The Boy,Invisible Boy
2:00pm,Moville Mysteries,Curses of the Mommies
2:30pm,Freaky Stories,Mama's Boy
3:00pm,Mystery Hunters,Hypnosis / Pet Psychics
3:30pm,Timeblazers,Rambling & Romance
4:00pm,Passport to Paris (1999),
4:30pm,,
5:00pm,,
5:30pm,,
6:00pm,Charlie Brown,"Be My Valentine, Charlie Brown"
6:30pm,Mental Block,Kiss & Tell
7:00pm,YTV's Hit List,Episode 23
7:30pm,,
8:00pm,Girlstuff/Boystuff,Secrets and Lies / Mall's Fair
8:30pm,Girlz TV,Episode 38
9:00pm,Road Scholars,Ireland
9:30pm,Mystery Hunters,Episode 1
10:00pm,Timeblazers,Rambling & Romance
10:30pm,2030 CE,Get Victor
11:00pm,Breaker High,Moon Over Tamira
11:30pm,Ready or Not,Swear To God
