Time,Show,Episode,Image
12:07am,Are You Being Served?,"Mrs. Slocombe, Senior Person",""
12:40am,Keeping Up Appearances,Episode 22,""
1:23am,My Family,Much Ado About Ben,""
2:00am,The New Addams Family,The Addam's Policy,""
2:30am,Radio Active,For Whom the Bell Curve,""
3:00am,System Crash,Broken (Slightly Cracked),""
3:30am,Dragon Ball,Goku's Rival!,""
4:00am,Dragon Ball Z,Seized With Fear,""
4:30am,Uh Oh!,Episode 118,""
5:00am,Girlstuff/Boystuff,Flu Manchu / Art of You,""
5:30am,Yvon of the Yukon,Fashion Fools,""
6:00am,Uh Oh!,Episode 119,""
6:30am,Stickin' Around,The Great Outside / Treasure of Sierra Latchkey,""
7:00am,George Shrinks,Return of the Space Invaders,""
7:30am,The New Woody Woodpecker Show,Episode 24,""
8:00am,Rugrats,The Family Tree,""
8:30am,Mona the Vampire,The Man with Nine Lives / Yak of the Yammering Yam,""
9:00am,Rupert,Rupert & The Hedgehog,""
9:30am,Care Bears,Caring Crystals / Make Friends,""
10:00am,Seven Little Monsters,Runaway Mom,""
10:30am,Monster By Mistake,Johnny's Reunion,""
11:00am,Stickin' Around,Coat of Many / Environmentally,""
11:30am,Flying Rhino Junior High,Quit Buggin' Me,""
12:00pm,SpongeBob SquarePants,Jelly Fishing / Plankton,""
12:30pm,Hamtaro,The Sunflower Ferris Wheel,""
12:55pm,Pingu,Pingu's Outing,""
1:00pm,Care Bears,Cooking Corner / Facts & Fables,""
1:30pm,George Shrinks,Return of the Space Invaders,""
2:00pm,Mona the Vampire,Terror in Toon Town / The Droll Troll,""
2:30pm,D'myna Leagues,A Peaceful Queasy Feeling,""
3:00pm,Pokémon: Advanced,There's No Place Like Hoenn,""
3:30pm,Jackie Chan Adventures,The Good Guys,""
4:00pm,The Fairly Oddparents,Crimson Chin / Engine Block,""
4:30pm,My Life as a Teenage Robot,Attack of the 5½ Ft. Geek / Doom With a View,""
5:00pm,Yu-Gi-Oh!,"Clash in the Coliseum, Part 4",""
5:30pm,Beyblade,First Strike,""
6:00pm,SpongeBob SquarePants,Jelly Fishing / Plankton,""
6:30pm,Transformers: Energon,Cybertron City,""
7:00pm,Energon Stars,""
7:30pm,Scorponok,""
8:00pm,Dragon Ball,Lookout For Launch!,""
8:30pm,Dragon Ball GT,The Neo-Machine Mutant: An Awesome Fellow with a Baby Face!,""
9:00pm,Spider-Man: The New Animated Series,Tight Squeeze,""
9:30pm,Samurai Jack,Jack Remembers the Past,""
10:00pm,Inuyasha,Down the Rabbit Hole and Back Again,""
10:30pm,Yura of the Demon-hair,""
11:00pm,ReBoot,When Games Collide,""
11:30pm,Bad Bob,""
