Time,Show,Episode
12:00am,Fear,"Mina Dos Estrelllas, Part 2"
12:30am,,
1:00am,Serenity Lake Sanitorium,
1:30am,,
2:00am,Eastern State Penitentary,
2:30am,,
3:00am,Freaky Stories,Maggots Are From Venus
3:30am,Gigabyte This,
4:00am,A Word From Our Sponsor,
4:30am,And Now the News,
5:00am,Mama's Boy,
5:30am,No Rhyme or Reason,
6:00am,Monster By Mistake,Tracy's Jacket
6:30am,Seven Little Monsters,Gorgool's Pet
7:00am,Martin Mystery,Fright From The Ice
7:30am,The Sewer Thing,
8:00am,Stuart Little,A Little Vacation
8:30am,Charlie Brown,"It's a Mystery, Charlie Brown"
9:00am,"Hey, Arnold!",Headless Cabbie / Friday the 13th
9:30am,"The Adventures of Jimmy Neutron, Boy Genius",The Phantom of Retroland / My Son the Hamster
10:00am,Spongebob Squarepants,Graveyard Shift / Krusty Love
10:30am,The Fairly Oddparents,Where's Wanda / Imaginary Gary
11:00am,All Grown Up,Thief Encounter
11:30am,Jacob Two Two!,Jacob Two Two! & The Ghost
12:00pm,Mystery Hunters,Prison Inn / Ghost Seeing Dogs
12:30pm,Voodoo / Gettysburg Ghost,
1:00pm,Macbeth / Salem Witches,
1:30pm,Dragons / Sewer Gaters,
2:00pm,Area 51 / Roswell,
2:30pm,Bell Witch / Anne Boleyn,
3:00pm,Alien Encounter / Crop Circles,
3:30pm,Best of Mystery Hunter Investiagations,
4:00pm,Addams Family Reunion (1998),
4:30pm,,
5:00pm,,
5:30pm,,
6:00pm,Goosebumps,A Night in Terror Tower
6:30pm,,
7:00pm,Night of the Living Dummy,
7:30pm,,
8:00pm,Welcome To Dead House,
8:30pm,,
9:00pm,YTV's Hit List,Episode 26
9:30pm,,
10:00pm,Road Scholars,Alaska
10:30pm,2030 CE,The Ghost
11:00pm,Breaker High,Heartbreak High
11:30pm,Ready or Not,Saint Carla
