Time,Show,Episode
12:00am,Smallville,
12:30am,,
1:00am,Uptown Girls (2003),
1:30am,,
2:00am,,
2:30am,,
3:00am,,
3:30am,,
4:00am,YTV Shorts,
4:30am,Team Galaxy,
5:00am,Grossology,
5:30am,Captain Flamingo,
6:00am,Being Ian,
6:30am,Grossology,
7:00am,Wolverine and the X-Men,
7:30am,,
8:00am,,
8:30am,,
9:00am,,
9:30am,,
10:00am,,
10:30am,Foresight Part 1,
11:00am,Foresight Part 2,
11:30am,Foresight Part 3,
12:05pm,Pokémon Diamond and Pearl: Battle Dimension,
12:30pm,Dinosaur King,
1:00pm,Blue Dragon,
1:30pm,Monster Buster Club,
2:00pm,Rollbots,
2:30pm,Storm Hawks,
3:00pm,Hook (1991),
3:30pm,,
4:00pm,,
4:30pm,,
5:00pm,,
5:30pm,,
6:00pm,Kid vs. Kat,
6:30pm,The League of Super Evil,
7:00pm,Prank Patrol,The Boogeyman Motel {New '06}
7:30pm,,
8:00pm,The Goonies (1985),
8:30pm,,
9:00pm,,
9:30pm,,
10:00pm,,
10:30pm,Bleach,
11:00pm,Mystery Hunters,
11:30pm,Ghost Trackers,
