Time,Show,Episode,Image
12:00am,Scary But True,"Agnes, Are You There? / Room 347 / Bodie's Curse",""
12:30am,Vampire High,That's Why the Lady Is a Vamp,""
1:00am,Home Movies,History,""
1:30am,Stressed Eric,Bursting,""
2:00am,Microsoft's .net Show 6 (Paid Programming),""
2:30am
3:00am,System Crash,Jobs & Responsibilities,""
3:30am,Alpha 2 Omega,Episode 9,""
4:00am,gAmerZ,Episode 25,""
4:30am,Rocket Power,New Squid on the Block / Down the Drain,""
5:00am,Digimon Tamers,"O Partner, Where Art Thou",""
5:30am,Pokémon: Johto League Champions,A Dairy Tale is Ending,""
6:00am,Mona the Vampire,Sun Worshipers / Heat Wave,""
6:30am,The Legend of White Fang,The Revenge,""
7:00am,Monster By Mistake,Campsite Creeper,""
7:30am,Augie Doggie and Doggie Daddy,Episode 6,""
8:00am,Alvin & The Chipmunks,Alvin's Obsession / Alvin's Not So Super Hero,""
8:30am,SpongeBob SquarePants,Grandma's Kisses / Squidville,""
9:00am,As Told By Ginger,"Dare I, Darren",""
9:30am,The Flintstones,Fred Goes Ape,""
10:00am,The Jetsons,"Invisibly Yours, George",""
10:30am,Dexter's Laboratory,Dexter's Lab: A Story / Coupon for Craziness / Better Off Wet,""
11:00am,Detention,Too Good To Be Truant,""
11:30am,The New Woody Woodpecker Show,Episode 39,""
12:00pm,D'Myna Leagues,Sticks & Stones,""
12:30pm,Yvon of the Yukon,An F In Friendship,""
1:00pm,Uh Oh!,Episode 171,""
1:30pm,Sailor Moon,Last Resort,""
2:00pm,The Vision of Escaflowne,The Girl From the Mystic Moon,""
2:30pm,Jackie Chan Adventures,Jade Times Jade,""
3:00pm,Medabots,The Gimme Ghost,""
3:30pm,Digimon Tamers,"O Partner, Where Art Thou",""
4:00pm,The Iron Giant (1999),""
4:30pm
5:00pm
5:30pm
6:00pm,Sitting Ducks,Born to Be Wild / Bill Hatches an Egg,""
6:30pm,So Little Time,The Colour Of Money,""
7:00pm,The Brothers García,A Hunting We Will Go,""
7:30pm,Screech Owls,The Company Men,""
8:00pm,The Saddle Club,Jump Off,""
8:30pm,Caitlin's Way,Juliet & Her Romeo,""
9:00pm,Road Scholars,Kenya,""
9:30pm,Final Cut,Animals,""
10:00pm,Radio Active,Being Morgan Leigh,""
10:30pm,System Crash,Sweet Smell Of Obsessed,""
11:00pm,Shadow Raiders,Embers of The Past,""
11:30pm,My Family,Death Takes a Policy,""
