Time,Show,Episode,Image
12:00am,Chart Attack!,Episode 1-28 [Note 1],""
12:30am
1:00am,"Yes, Minister",A Victory For Democracy,""
1:30am,Rocky & Bullwinkle,Episode 75,""
2:00am,Ocean Girl,Episode 52,""
2:30am,The Anti-Gravity Room,The Fringe III,""
3:00am,System Crash,Parents,""
3:30am,Alpha 2 Omega,Artsy Fartsy,""
4:00am,Gamerz,Episode 10,""
4:30am,Digimon,Ultimate Anti-Hero,""
5:00am,Pokemon: The Johto Journeys,Grin To Win!,""
5:30am,Action Man,Tower Of Power,""
6:00am,Dumb Bunnies,Camp Uppity,""
6:23am,Lisa,The Dinner Party,""
6:30am,George & Martha,The Blabbermouth / Life and Breath,""
6:52am,Elliot Moose,It's Only Me,""
7:00am,The Adventures of Tintin,Seven Crystal Balls (Part 1),""
7:30am,Action Man,Lost In The Funhouse,""
8:00am,Garfield and Friends,Episode 28,""
8:30am,The Charlie Brown and Snoopy Show,Linus' Secret Blanket,""
9:00am,The Flintstones,Once Upon A Crowd,""
9:30am,The Jetsons,G.I Jetson,""
10:00am,Rugrats,A Rugrats Passover,""
10:30am,Dexter's Labratory,Dollhouse Drama / Krunk's Date / The Big Cheese,""
11:00am,Detention,What Did You Seance?,""
11:30am,The New Woody Woodpecker Show,Stuck On You/Freeze Dried Chilly/That Healing Feeling,""
12:00pm,The Adventures of Tintin,Seven Crystal Balls (Part 1),""
12:30pm,Yvon Of The Yukon,Fromage To Eternity,""
1:00pm,Yaa! To The M@x,Showtime!,""
1:30pm,Sailor Moon,A Friend In Wolf's Clothing,""
2:00pm,Vision Of Escaflowne,Fateful Decision,""
2:30pm,Freaky Stories,Not The Waltons,""
3:00pm,Detention,What Did You Seance?,""
3:30pm,Watership Down,Lost,""
4:00pm,The Charlie Brown and Snoopy Show,Linus' Secret Blanket,""
4:30pm,Little Grey Rabbit,Episode 6,""
5:00pm,Yvon Of The Yukon,Fromage To Eternity,""
5:30pm,Two Of A Kind,Prelude To A Kiss,""
6:00pm,Rugrats,A Rugrats Passover,""
6:30pm,Screech Owls,Counterfeit Collectibles,""
7:00pm,Incredible Story Studio,Performance Of A Lifetime,""
7:30pm,The Zack Files,My Dinner With Grandpa,""
8:00pm,Caitlin's Way,Cow & Effect,""
8:30pm,I Was A Sixth Grade Alien,Floormat From The Putrid,""
9:00pm,Adventures of Shirley Holmes,The Case of the Mysterious Message,""
9:30pm,Radio Active,Logic 101,""
10:00pm,System Crash,Broken (Slightly Cracked),""
10:30pm,Big Wolf On Campus,Mr. Roboto,""
11:00pm,Brats of the Lost Nebula,Blite For A Day,""
11:30pm,Shadow Raiders,Period Of Adjustment,""
