Time,Show,Episode
12:00am,Chart Attack!,Episode 1-26 [Note 1]
12:30am,,
1:00am,"Yes, Minister",Equal Opportunities
1:30am,Rocky & Bullwinkle,Episode 61
2:00am,Ocean Girl,Episode 48
2:30am,The Anti-Gravity Room,Gold and Silver Age
3:00am,System Crash,Rivalries & Competition
3:30am,Alpha 2 Omega,Episode 11
4:00am,Gamerz,Episode 6
4:30am,Digimon,The Insect Master
5:00am,Pokemon: The Johto Journeys,Tanks A Lot!
5:30am,Action Man,Ground Zero
6:00am,Dumb Bunnies,Bunnies On The Bunnyzone
6:23am,Lisa,The Fancy Dress
6:30am,George & Martha,Big Splash / My Stars!
6:52am,Elliot Moose,Wading Pool
7:00am,The Adventures of Tintin,Red Sea Shark (Part 1)
7:30am,Action Man,Into The Abyss
8:00am,Garfield and Friends,Dj Jon
8:30am,Peanuts,"It's Spring Training, Charlie Brown"
9:00am,The Flintstones,Kleptomaniac Pebbles
9:30am,The Jetsons,Astro Millionaire
10:00am,Rocky & Bullwinkle,Episode 56
10:30am,Dexter's Labratory,Star Spangled Sidekicks/The Justice Friends: TV Super Pals/Game Over
11:00am,Detention,Shareena Takes The Cake
11:30am,The New Woody Woodpecker Show,This Seat's Taken/Cajun Chilly/Out of Line
12:00pm,The Adventures of Tintin,Red Sea Shark (Part 1)
12:30pm,Yvon Of The Yukon,Beach Blanket Bozos
1:00pm,Yaa! To The M@x,Rhythm & Blues
1:30pm,Sailor Moon,Worth A Princess' Ransom
2:00pm,Vision Of Escaflowne,Black Winged Angel
2:30pm,Freaky Stories,"When You Gotta Go, You Gotta Go"
3:00pm,Detention,Shareena Takes The Cake
3:30pm,Watership Down,The Vision
4:00pm,Peanuts,"It's Spring Training, Charlie Brown"
4:30pm,Little Grey Rabbit,Episode 9
5:00pm,Yvon Of The Yukon,Beach Blanket Bozos
5:30pm,Two Of A Kind,Pilot
6:00pm,Saddle Club,School Horse
6:30pm,Screech Owls,A Fine Balance
7:00pm,Incredible Story Studio,Sleuth!
7:30pm,The Zack Files,It's A Jungle In There
8:00pm,Caitlin's Way,Solo
8:30pm,I Was A Sixth Grade Alien,My Bodyguard Is A Rat
9:00pm,Adventures of Shirley Holmes,Crooked Comic
9:30pm,Radio Active,Dr. Tanya
10:00pm,System Crash,"Summer Loving, Had Us A Crash"
10:30pm,Big Wolf On Campus,Mind Over Merton
11:00pm,Brats of the Lost Nebula,The Runaways
11:30pm,Shadow Raiders,Worlds Within Worlds
