Time,Show,Episode,Youtube Video ID
12:00am,Are You Being Served?,Sit Out,
12:30am,Keeping Up Appearances,Episode 33,
1:00am,"Yes, Minister",Power To The People,
1:30am,Rocky & Bullwinkle,Episode 4,
2:00am,Hey Arnold!,Helga's Locket / Sid and Germs,
2:30am,Roswell Conspriacies,Third Degree,
3:00am,Walter Melon,Incredible Bulk / Noman The Barbarian,
3:30am,Batman,Heart Of Steel (Part 1),
4:00am,Dragon Ball Z,Extreme Measures,
4:30am,Digimon,Crest of Kindess,
5:00am,Pokemon,"Wherefore Art Thou, Pokemon",
5:30am,Roswell Conspriacies,Third Degree,
6:00am,Dumb Bunnies,Prince of Monte Carrot,
6:23am,Lisa,Space Adventure,
6:30am,Anatole,Over The Sea,
6:53am,Elliot Moose,The Case Of The Haunted,
7:00am,Pippi Longstocking,Pippi Entertains Two Burglars,
7:30am,Action Man,Out Of The Shadows,
8:00am,Digimon,Darkness Before Dawn,
8:30am,Pokémon: The Johto Journeys,Little Big Horn,
9:00am,Jackie Chan Adventures,The Mask Of El Toro Fuerte,
9:30am,Rocket Power,Snow Day / Welcome to the Club,
10:00am,The Wild Thornberrys,The Kung and I,
10:30am,CatDog,Sumo Enchanted Evening / Hotel CatDog,
11:00am,The Angry Beavers,Moby Dopes / Present Tense,
11:30am,SpongeBob SquarePants,Chaperone / Employee Of The Month,
12:00pm,The Flintstones,Mother-In-Law's Visit,
12:30pm,The Jetsons,Nine To Five To Nine,
1:00pm,Video & Arcade Top 10,Episode 11,
1:30pm,YTV's Hit List,Episode 10-20[Note 1],
2:00pm,,,
2:30pm,All Access Special,Aaron's Party,
3:00pm,Mona The Vampire,Brainwash Boogie / Von Kreepsula's Revenge,
3:30pm,Sailor Moon,Shadow of Silence,
4:00pm,Powerpuff Girls,Jewel of the Aisle / Super Zeroes,
4:30pm,"Uh-Oh, Dynamo",,
5:00pm,Generation O!,Going Solo,
5:30pm,Freaky Stories,The Man / The Big / Smelly,
6:00pm,The New Addams Family,The Addam's Policy,
6:30pm,I Was A Sixth Grade Alien,Help! I Pooverized,
7:00pm,Worst Witch,The Uninvited,
7:30pm,Big Wolf On Campus,The Butch Is Back,
8:00pm,Buffy The Vampire Slayer,Checkpoint,
8:30pm,,,
9:00pm,Live Through This,Episode 7,
9:30pm,,,
10:00pm,Goosebumps,Cry of the Cat (Part 1),
10:30pm,Student Bodies,Permission,
11:00pm,System Crash,Bully For You,
11:30pm,Radio Active,Meat Versus Potatoes,
