Time,Show,Episode,Youtube Video ID
12:00am,Daria,Season Finale,
12:30am,Downtown,Insomnia,
1:00am,"Yes, Minister",Real Partnership,
1:30am,Rocky & Bullwinkle,Episode 74,
2:00am,Hey Arnold!,Helga's Love Potion / Gerald's Secret,
2:30am,Roswell Conspiracies,Last of the Sasquatch,
3:00am,Three Friends and Jerry,Frightening / Catch,
3:30am,The New Batman Adventures,You Scratch My Back,
4:00am,Dragon Ball Z,Piccolo's Folly,
4:30am,Digimon,"Digimon World Tour, Part 1",
5:00am,Pokémon: The Johto Journeys,The Superhero Secret,
5:30am,Roswell Conspiracies,Last Of The Sasquatch,
6:00am,Dumb Bunnies,Felony Cleans Up,
6:23am,Lisa,Holger With The Big Ears,
6:30am,Anatole,The Mouse A Lisa,
6:53am,Elliot Moose,Boo!,
7:00am,Pippi Longstocking,Pippi Enters the Big Race,
7:30am,Action Man: Doom Strikes Back,Tower Of Power,
8:00am,Digimon Adventure 02,Ultimate Anti-Hero,
8:30am,Pokémon: The Johto Journeys,Grin To Win!,
9:00am,Jackie Chan Adventures,The Mask of El Toro Fuerte,
9:30am,The Wild Thornberrys,Every Little Bit Alps,
10:00am,The Angry Beavers,Tree of Hearts / Dag for Night,
10:30am,SpongeBob SquarePants,Culture Shock / F.U.N,
11:00am,Alvin and the Chipmunks (1983),Kong,
11:30am,The Flintstones,Peek-A-Boo Camera,
12:00pm,The Jetsons,Jane's Driving Lesson,
12:30pm,Radio Active,Dark Sarah,
1:00pm,Video & Arcade Top 10,Episode 21,
1:30pm,YTV's Hit List,"Brit List Part 1 - Sugababes, Westlife and 5ive Episode 10-29 [Note 1]",
2:00pm,,,
2:30pm,,,
3:00pm,Sailor Moon,Darkness My Old Friend,
3:30pm,Second Chance,,
4:00pm,The Powerpuff Girls,All Chalked Up,
4:30pm,Moral Decay / Meet the Beat-Alls,,
5:00pm,Josie and the Pussycats,The Nemo's a No No Affair,
5:30pm,The Great Pussy-Cat Chase,,
6:00pm,The New Addams Family,Fester Joins The Global Mercenaries,
6:30pm,I Was A Sixth Grade Alien,Bride Of Pleskit,
7:00pm,Worst Witch,Better Dead Than Co-ed,
7:30pm,Big Wolf On Campus,The Manchurian Werewolf,
8:00pm,Buffy the Vampire Slayer,Into the Woods,
8:30pm,,,
9:00pm,Farscape,That Old Black Magic,
9:30pm,,,
10:00pm,Goosebumps,My Hairiest Adventuire,
10:30pm,Student Bodies,Victor Moves In,
11:00pm,System Crash,Super Natural,
11:30pm,Radio Active,"A Mad, Mad, Mad, Station",
