Time,Show,Episode,Image
12:00am,Are You Being Served?,A Bliss Girl,""
12:30am,Keeping Up Appearances,Episode 16,""
1:00am,"Yes, Minister",Official Visit,""
1:30am,Rocky & Bullwinkle,Episode 87,""
2:00am,Hey Arnold!,Casa Paradiso / Gerald's Tonsils,""
2:30am,Roswell Conspiracies,Father Of Chaos,""
3:00am,Three Friends & Jerry,Moose Gang / Survival,""
3:30am,Batman,Critters,""
4:00am,Dragon Ball Z,He's Here,""
4:30am,Digimon,A New Digitude,""
5:00am,Pokemon: The Johto Journeys,Fire-Ing Squad,""
5:30am,Roswell Conspiracies,Father Of Chaos,""
6:00am,Once Upon A Hamster,Captain Toadie's Band,""
6:30am,Turtle Island,Discord Island,""
7:00am,Panda Bear Daycare,Let's Play Doctor And,""
7:14am,Ruffus The Dog,The Three Little Pigs,""
7:30am,Anthony Ant,Rustle Mania / Anything,""
8:00am,Stickin' Around,"We're Doomed! / It's Gone Baby, Wheel Gone",""
8:30am,George & Martha,Triple Dare / Icky Story,""
9:00am,Rupert,Rupert And The Wool,""
9:24am,Pablo The Little Red Fox,Pumpkin To The Rescue,""
9:30am,St. Bear's Dolls Hospital,The Toy Box Disaster,""
9:44am,Beezoo's Attic,Video Mania,""
10:00am,Kitty Cats,Hide And Seek / Tick-Tock,""
10:30am,Babar,Every Basket Has a Silver Lining,""
11:00am,Panda Bear Daycare,Let's Play Doctor And,""
11:15am,Ruffus The Dog,The Three Little Pigs,""
11:30am,Anthony Ant,Rustle Mania / Anything,""
11:55am,Spider,C-Rocker,""
12:00pm,Sailor Moon,Mixed Emotions,""
12:30pm,Uh Oh!,Episode 160,""
1:00pm,Jellabies,Bouncy Ball,""
1:05pm,Maisy,Circus,""
1:10pm,Wildlife,Episode 4,""
1:15pm,Mopatop's Shop,Nothing,""
1:24pm,Pablo The Little Red Fox,Pumpkin To The Rescue,""
1:30pm,Babar,Every Basket Has a Silver Lining,""
2:00pm,St. Bear's Dolls Hospital,The Toy Box Disaster,""
2:14pm,Beezoo's Attic,Video Mania,""
2:30pm,Sheep,The Stamp,""
2:40pm,Adventures Of Spot,Spot's Lost Bone,""
2:45pm,Sheep,Flat Tyre,""
3:00pm,Stickin' Around,"We're Doomed! / It's Gone Baby, Wheel Gone",""
3:30pm,Uh Oh!,Episode 165,""
4:00pm,Rugrats,Cat Got Your Tongue?/The War Room/Attention Please,""
4:30pm,Hey Arnold!,Phoebe Takes the Fall / The Pig War,""
5:00pm,Pokemon: The Johto Journeys,No Big Woop,""
5:30pm,Digimon,Digimon World Tour (Part III),""
6:00pm,Generation O!,Girls Rule,""
6:30pm,YTV's Hit List,Episode 10-31 [Note 1],""
7:00pm
7:30pm
8:00pm,Making The Band,Old Flame,""
8:30pm,Noah Knows Best,Door To Door,""
9:00pm,Crush,Shannon / Lindsey,""
9:30pm,Chart Attack!,Episode 1-30  [Note 2],""
10:00pm
10:30pm,Big Wolf On Campus,Frank Stein,""
11:00pm,Student Bodies,Detention,""
11:30pm,Gamerz,Episode 27,""
