Time,Show,Episode,Youtube Video ID
12:00am,Are You Being Served?,Episode 3,
12:30am,Keeping Up Appearances,Episode 8,
1:00am,"Yes, Minister",Doing The Honours,
1:30am,Rocky & Bullwinkle,Episode 134,
2:00am,Hey Arnold!,Bag of Money / Principal Simmons,
2:30am,Oggy & The Cockroaches,Episode 22,
3:00am,Three Friends & Jerry,Episode 13,
3:30am,Batman,Prophecy Of Doom,
4:00am,Dragon Ball Z,Puzzle Of General Tao,
4:30am,Digimon,United We Stand,
5:00am,Pokemon: The Johto Journeys,Once In A Blue Moon,
5:30am,Oggy & The Cockroaches,Episode 22,
6:00am,Once Upon a Hamster,Flood,
6:30am,Turtle Island,Return of Captain Crook,
7:00am,Fuzzpaws,Responsibility,
7:30am,Elliot Moose,Episode 25,
8:00am,Mona The Vampire,Cupid's Mark / The Lost Pirates,
8:30am,Anatole,The Mouse A Lisa,
9:00am,Rupert,Rupert & The Great Mephisto,
9:24am,Pablo the Little Red Fox,Midnight Cleaning,
9:30am,St. Bear's Dolls Hospital,The Rocking Horse Racer,
9:44am,Beezoo's Attic,Edgar Wants A Job,
10:00am,Kitty Cats,Willie Warbler / Bells,
10:30am,Babar,Monkey Business,
11:00am,Fuzzpaws,Responsibility,
11:30am,Elliot Moose,Episode 25,
11:52pm,Lisa,Scared Of Loli,
12:00pm,Sailor Moon,Bad Harmony,
12:30pm,Uh Oh!,Episode 108,
1:00pm,Kitty Cats,Difficult Choice / Fan...cy,
1:30pm,Babar,Monkey Business,
2:00pm,St. Bear's Dolls Hospital,The Rocking Horse Racer,
2:15pm,Beezoo's Attic,Edgar Wants A Job,
2:30pm,Anatole,Artful Dodger,
3:00pm,Mona The Vampire,Cupid's Mark / The Lost Pirates,
3:30pm,Uh Oh!,Episode 157,
4:00pm,Rugrats,A Visit from Lipschitz / What the Big People Do,
4:30pm,Hey Arnold!,New Bully on the Block / Phoebe Breaks a Leg,
5:00pm,Pokémon: The Johto Journeys,Whistle Stop,
5:30pm,Digimon,Fusion Confusion,
6:00pm,Powerpuff Girls,Beat Your Greens / Down 'n Dirty,
6:30pm,Sailor Moon,Second Chance,
7:00pm,Saddle Club,Horse Shy,
7:30pm,Caitlin's Way,Tremors,
8:00pm,Dragon Ball Z,Games Begin,
8:30pm,Radio Active,Dr. Tanya,
9:00pm,Big Wolf On Campus,The Girl Who Spied Wolf,
9:30pm,Student Bodies,Tanya,
10:00pm,Freaky Stories,Episode 24,
10:30pm,Goosebumps,Bad Hare Day,
11:00pm,Worst Witch,The Uninvited,
11:30pm,Incredible Story Studio,Historical Hijinks,
