Time,Show,Episode,Youtube Video ID
12:00am,Are You Being Served?,Gambling Fever,
12:30am,Keeping Up Appearances,Episode 6,
1:00am,"Yes, Minister",Death List,
1:30am,Rocky & Bullwinkle,Episode 17,
2:00am,Hey Arnold!,A Day In The Life,
2:30am,Oggy & The Cockroaches,Episode 4,
3:00am,Walter Melon,T.E.T / Arachnoman,
3:30am,Batman,The Mechanic,
4:00am,Dragon Ball Z,Mystery Revealed,
4:30am,Digimon,Arukenimon's Tangled Web,
5:00am,Pokemon,Food Fight,
5:30am,Oggy & The Cockroaches,Episode 4,
6:00am,Once Upon A Hamster,Hairbrush Henry,
6:30am,Turtle Island,Magic Bottle,
7:00am,Panda Bear Daycare,Fibs & Other True Stories,
7:14am,Ruffus The Dog,Robinson Crusoe,
7:30am,Anthony Ant,Air Ant / Antastic,
8:00am,Stickin' Around,What's The Scoop / Doddler's List,
8:30am,George & Martha,Dance Recital / The Tooth,
9:00am,Rupert,Rupert and the Paper Fold,
9:24am,Pablo The Little Red Fox,Fishing For Dad,
9:30am,St. Bear's Dolls Hospital,St. Bear's TV Special,
9:44am,Beezoo's Attic,Rocking Rooster,
10:00am,Country Mouse and the City Mouse Adventures,Adventure On The Orient,
10:30am,Babar,Babar's Triumph,
11:00am,Panda Bear Daycare,Fibs & Other True Stories,
11:14am,Ruffus The Dog,Robinson Crusoe,
11:30am,Anthony Ant,Air Ant / Antastic,
11:53am,Spider,The Spider's Song,
12:00pm,Sailor Moon,Computer School Blues,
12:30pm,Uh Oh!,Episode 126,
1:00pm,Jellabies,Small,
1:05pm,Maisy,Feather,
1:10pm,Wildlife,Episode 6,
1:15pm,Mopatop's Shop,Dr Zuckermonster,
1:24pm,Pablo The Little Red Fox,Fishing For Dad,
1:30pm,Country Mouse and the City Mouse Adventures,Adventure On The Orient,
2:00pm,St. Bear's Dolls Hospital,St. Bear's TV Special,
2:14pm,Beezoo's Attic,Rocking Rooster,
2:30pm,Sheeep,Treasure Treats,
2:40pm,Adventures of Spot,Storytime With Spot,
2:44pm,Sheeep,The Big Freeze,
2:55pm,Spider,Little Miss M,
3:00pm,Stickin' Around,What's The Scoop / Doddler's List,
3:30pm,Uh Oh!,Episode 155,
4:00pm,Rugrats,"He Saw, She Saw / Piggy's Pizza Palace",
4:30pm,Hey Arnold!,Married,
5:00pm,Pokemon,Pokemon Double Trouble,
5:30pm,Digimon,Ultimate Anti-Hero,
6:00pm,Dragon Ball Z,Last Ditch Effort,
6:30pm,Monster Rancher,The Town That Disappeared,
7:00pm,Sailor Moon,"Star Struck, Bad Luck",
7:30pm,YTV's Hit List,Valentine's Day With O-Town [Note 1],
8:00pm,,,
8:30pm,,,
9:00pm,Noah Knows Best,The Tutor,
9:30pm,Making The Band,Goodbye Friends,
10:00pm,Chart Attack!,Episode 1-20 Valentine's Day Massacre  [Note 2],
10:30pm,,,
11:00pm,Student Bodies,Chris's Death Episode,
11:30pm,Gamerz,Episode 37,
