Time,Show,Episode
12:00am,Are You Being Served?,Heir Apparent
12:30am,Keeping Up Appearances,Episode 34
1:00am,"Yes, Minister",Patron of the Arts
1:30am,Rocky & Bullwinkle,Episode 5
2:00am,Ocean Girl,Episode 32
2:30am,The Anti-Gravity Room,Women in Comics II
3:00am,System Crash,Bully For You
3:30am,Alpha 2 Omega,Gears and Gadgets
4:00am,Gamerz,Episode 30
4:30am,Digimon,Darkness Before Dawn
5:00am,Pokemon: The Johto Journeys,Little Big Horn
5:30am,Action Man,Out Of The Shadows
6:00am,Dumb Bunnies,Get Along Little Bunnies
6:23am,Lisa,Gets a Babysitter
6:30am,The Adventures of Tintin,Tintin In Tibet (Part 1)
6:52am,Elliot Moose,Star Trick
7:00am,Alvin & The Chipmunks,Home Sweet Home / All Worked Up
7:30am,Tiny Toon Adventures,Psychic Funomenon
8:00am,Garfield and Friends,Episode 44
8:30am,Peanuts,"It's Magic, Charlie Brown"
9:00am,The Flintstones,Foxy Grandma
9:30am,The Jetsons,"Invisibly Yours, George"
10:00am,Rocky & Bullwinkle,Episode 48
10:30am,Snooper & Blabber,Zoom / Outer / Gem
11:00am,Detention,Breaking Out
11:30am,The New Woody Woodpecker Show,Spy-Guy/Ye Old Knothead & Splinter/Life in the Pass-Lane
12:00pm,The Adventures of Tintin,Tintin In Tibet (Part 1)
12:30pm,Yvon Of The Yukon,The Walrus Between Us
1:00pm,The Flintstones,Fred's New Job
1:30pm,Sailor Moon,Fight To The Finish
2:00pm,Vision Of Escaflowne,Secret Door
2:30pm,Olsen Twin Special,The Case of the U.S. Space Camp Mission
3:00pm,Detention,Breaking Out
3:30pm,Uh Oh!,Episode 144
4:00pm,Peanuts,"It's Magic, Charlie Brown"
4:30pm,Little Grey Rabbit,Wandering Hedgehog
5:00pm,Watership Down,The Orchard
5:30pm,Two Of A Kind,Carrie Moves In
6:00pm,Adventures of Shirley Holmes,Case of The Skeleton In The Closet
6:30pm,Incredible Story Studio,Magic Flump / Hidden World
7:00pm,Zack Files,Anchovy of Doom
7:30pm,Caitlin's Way,Truth Or Dare
8:00pm,Radio Active,Meat Versus Potatoes
8:30pm,Action Man,The Hereafter Factor
9:00pm,Three Friends & Jerry,Judgement Day / Curing Phobias
9:30pm,Adventures of Shirley Holmes,The Case of King Arthur
10:00pm,My Hometown,Rock Challenge
10:30pm,Big Wolf On Campus,Fear & Loathing In
11:00pm,Brats of the Lost Nebula,Mom and Dad
11:30pm,Shadow Raiders,Mindwar
