Time,Show,Episode,Image
12:00am,Are You Being Served?,Do You Take This Man,""
12:30am,Keeping Up Appearances,Episode 19,""
1:00am,"Yes, Minister",Middle Class Rip Off,""
1:30am,Rocky & Bullwinkle,Episode 70,""
2:00am,Hey Arnold!,Grandpa's Sister / Synchronized Swimming,""
2:30am,Roswell Conspriacies,Showdown (Part 2),""
3:00am,Walter Melon,Marzipan the Apeman / Goldrod,""
3:30am,Batman,Night of the Ninja,""
4:00am,Dragon Ball Z,Frieza Defeated!,""
4:30am,Digimon,The Storm of Friendship,""
5:00am,Pokemon,Stage Fight,""
5:30am,Roswell Conspriacies,Showdown (Part 2),""
6:00am,Dumb Bunnies,Felony Cleans Up,""
6:23am,Lisa,Scared of Loli,""
6:30am,Anatole,"The Long, Long Night",""
6:53am,Elliot Moose,Help!,""
7:00am,Pippi Longstocking,Pippi Meets Some Pearl Poachers,""
7:30am,Action Man,Double Vision,""
8:00am,Digimon,Run Yolie Run,""
8:30am,Pokémon: The Johto Journeys,Spinarak Attack,""
9:00am,Jackie Chan Adventures,The Dark Hand,""
9:30am,Rocket Power,Aloha Kid / Ottomobile,""
10:00am,The Wild Thornberrys,Tamper Proof Seal,""
10:30am,CatDog,Cliff's Little Secret / Freak Show,""
11:00am,The Angry Beavers,Fat Chance / Dag in the Mirror,""
11:30am,SpongeBob SquarePants,Culture Shock / F.U.N,""
12:00pm,The Flintstones,Dial S For Suspicison,""
12:30pm,The Jetsons,Swiss Family Jetsons,""
1:00pm,Video & Arcade Top 10,Episode 9,""
1:30pm,YTV's Hit List,Episode 10-18 Part One[Note 1],""
2:00pm
2:30pm,All Access Special,"Seven Cities, 10 Days (Part 2)",""
3:00pm,Mona The Vampire,Bird Boy / Flower Power,""
3:30pm,Sailor Moon,Rini's Risky Friendship,""
4:00pm,Powerpuff Girls,Moral Decay / Meet the Beat Alls,""
4:30pm,Cat Man Do / Impeach Fuzz,""
5:00pm,Generation O!,Deviated Tonsils,""
5:30pm,Freaky Stories,Need / Zit's / Girl / Smell,""
6:00pm,The New Addams Family,Fester the Tycoon,""
6:30pm,I Was A Sixth Grade Alien,The Pleskit Club,""
7:00pm,Worst Witch,Lost Chord,""
7:30pm,Big Wolf On Campus,Fear and Loathing in Pleasantville,""
8:00pm,Buffy the Vampire Slayer,Triangle,""
8:30pm
9:00pm,Live Through This,Episode 5,""
9:30pm
10:00pm,Goosebumps,The Ghost Next Door: Part 1,""
10:30pm,Student Bodies,A Perfectt Mags,""
11:00pm,System Crash,Broken (Slighty Cracked),""
11:30pm,Radio Active,The Ratings War,""
