Time,Show,Episode
12:00am,Daria,Psycho Therapy
12:30am,Downtown,Jersey
1:00am,"Yes, Minister",Right To Know
1:30am,Rocky & Bullwinkle,Episode 131
2:00am,Hey Arnold!,Gerald's Game / Fishing Trip
2:30am,Oggy & The Cockroaches,Episode 21
3:00am,Three Friends & Jerry,Country Cousin
3:30am,Batman,Vendetta
4:00am,Student Bodies,Dead Men Don't Wear Plaid
4:30am,Digimon,Spirit Needle
5:00am,Pokémon: The Johto Journeys,Chikorita Rescue
5:30am,Oggy & The Cockroaches,Episode 21
6:00am,Dumb Bunnies,Missing Lollapaluzzi
6:23am,Lisa,At The Dentist
6:30am,Anatole,The Mouse Who Cried Wolf
6:53am,Elliot Moose,Elliot Mapleberry
7:00am,Pippi Longstocking,Pippi Is Shipwrecked
7:30am,Action Man,The Hereafter Factor
8:00am,Digimon,Dramon Power
8:30am,Pokémon: The Johto Journeys,Going Apricorn!
9:00am,Jackie Chan Adventures,The Dark Hand
9:30am,The Wild Thornberry's,Thornberry Island
10:00am,Angry Beavers,Sans A Pelt / Gonna Getcha
10:30am,Spongebob Squarepants,Help Wanted / Reef Blower / Tea at the Treedome
11:00am,Alvin & The Chipmunks,Bigger
11:30am,The Flintstones,Pebbles' Birthday
12:00pm,The Jetsons,Dog Daze Afternoon
12:30pm,Radio Active,Miz Atoll Dearest
1:00pm,Video & Arcade Top 10,Episode 29
1:30pm,YTV's Hit List,Episode 10-37
2:00pm,,
2:30pm,,
3:00pm,Josie and the Pussycats,Swap Plot Flop
3:30pm,Sailor Moon,The Trouble With Love
4:00pm,Vision Of Escaflowne,Lost Paradise
4:30pm,Powerpuff Girls,Bubblevision / Bought and Scold
5:00pm,Generation O!,Girls Rule
5:30pm,Freaky Stories,Episode 22
6:00pm,The New Addams Family,"Granny, The Happy Medium"
6:30pm,I Was A Sixth Grade Alien,His Girlfriend Is an Alien
7:00pm,Worst Witch,Crumpets For Tea
7:30pm,Big Wolf On Campus,Book Mobile
8:00pm,Buffy The Vampire Slayer,Buffy Vs Dracula
8:30pm,,
9:00pm,Live Through This,Episode 6
9:30pm,,
10:00pm,Goosebumps,The Headless Ghost
10:30pm,Student Bodies,A Gay Friend
11:00pm,System Crash,Celebrity
11:30pm,Radio Active,Being Morgan Leigh
