Time,Show,Episode
12:00am,Home Movies,Class Trip
12:30am,Daria,The Story Of D
1:00am,Downtown,Graffiti
1:30am,KaBlam!,It's All in the Wrist!
2:00am,Stickin' Around,Little Barbershop of Horrors / Hippity Hop to the Top
2:30am,Rugrats,Rebel Without a Teddy Bear / Angelica the Magnificent
3:00am,Mobile Suit Gundam Wing,Quatre Vs. Heero
3:30am,CatDog,Hail the Great Meow Woof / Battle of the Bands
4:00am,Hey Arnold!,Downtown as Fruits / Eugene's Bike
4:30am,Uh Oh!,Episode 142
5:00am,Digimon,The Crest of Light
5:30am,Pokémon: Johto League Champions,Fossil Fuels
6:00am,Pippi Longstocking,Pippi Goes To The South
6:30am,Legend of White Fang,The Expedition
7:00am,Mummies Alive!,Show Me the Mummy
7:30am,Transformers: Robots in Disguise,The Hunt For Black Pyramid
8:00am,Super Duper Sumos,Rest Area 51
8:30am,Medabots,The Old Man & the Sea Monster
9:00am,X-Men: Evolution,Speed and Spyke
9:30am,Static Shock,They're Playing My Song
10:00am,Batman Beyond,Sentries of the Last Cosmos
10:30am,The Zeta Project,The Next Gen
11:00am,Jackie Chan Adventures,The J-Team
11:30am,Alienators: Evolution Continues,Swarm!
12:00pm,Hey Arnold!,Helga's Makeover / The Old Building
12:30pm,Rocket Power,The Longest Day / Ottoman and the Sea
1:00pm,Video & Arcade Top 10,Episode 48
1:30pm,YTV's Hit List,Episode 11-5
2:00pm,,
2:30pm,,
3:00pm,Digimon Tamers,Dream a Little Dream
3:30pm,Pokémon: Johto League Champions,A Goldenrod Opportunity
4:00pm,Powerpuff Girls,Bubblevision / Bought and Scold
4:30pm,Sailor Moon,Reflections of Reality
5:00pm,Mona the Vampire,Cyborg Phantasm / Kitten of the Sea
5:30pm,Ultimate Book of Spells,Time and Again
6:00pm,Worst Witch,Better Dead Than Co-ed
6:30pm,The New Addams Family,"Gomez, the Reluctant Lover"
7:00pm,Scary... But True,Bachelor's Grove / The Vortex
7:30pm,Vampire High,Things That Go Vamp in the Night
8:00pm,Buffy the Vampire Slayer,After Life
8:30pm,,
9:00pm,Dead Last,Teen Spirit
9:30pm,,
10:00pm,Scariest Places on Earth,Chillingham
10:30pm,,
11:00pm,Chart Attack,Episode 2-5
11:30pm,,
