Time,Show,Episode,Image
12:00am,Are You Being Served?,The Hold Up,""
12:37am,Keeping Up Appearances,#37,""
1:13am,"Yes, Minister",Real Partnership,""
1:42am,Rocky and Bullwinkle,#72,""
2:11am,Ocean Girl,#19,""
2:40am,The Anti-Gravity Room,Episode 36,""
3:10am,System Crash,Sleazy Does It,""
3:37am,Alpha 2 Omega,Episode 10,""
4:05am,gAmerZ,Episode 14,""
4:30am,Garfield and Friends,Count Lasagna / Mystery Guest / Rodent Ramage,""
5:00am,Yvon of the Yukon,An Officer and a Frenchman,""
5:30am,Freaky Stories,Stolen Lunchbox / Front Row Seats / The Vanishing / Dead Man Walking,""
6:00am,Babar,Special Delivery,""
6:30am,Rupert,Rupert and the Tiger's Eye,""
7:00am,Stickin' Around,Mouse in the Midst / Texas Chainsaw-Ectomy,""
7:30am,CatDog,Harasslin' Match / Dog the Not-So-Mighty,""
8:00am,Rugrats,Beauty Contest / Baseball,""
8:30am,Uh Oh!,Episode 163,""
9:00am,Rupert,Rupert and the Tiger's Eye,""
9:30am,Kitty Cats,Super Hero / Detective,""
10:00am,St. Bear's Dolls Hospital,St. Bear's TV Special,""
10:15am,Beezoo's Attic,Piano Goes Quiet,""
10:30am,Panda Bear Daycare,Change of Heart,""
10:45am,Ruffus the Dog,Gulliver's Travels,""
11:00am,Babar,Special Delivery,""
11:30am,Anthony Ant,#12,""
12:00pm,The Jetsons,Rosie the Robot,""
12:30pm,The Flintstones,The Flintstone Flyer,""
1:00pm,George and Martha,The Scary Movie / The Book,""
1:30pm,Little Bear,What Will Little Bear Wear? / Hide and Seek / Little Bear Goes to the Moon,""
2:00pm,Babar,Special Delivery,""
2:30pm,Rupert,Rupert and the Tiger's Eye,""
3:00pm,Detention,Rule the School,""
3:30pm,Uh Oh!,Episode 166,""
4:00pm,The Powerpuff Girls,Film Flam,""
4:30pm,Hey Arnold!,Helga's Show / The Flood,""
5:00pm,Pokémon,Wake Up Snorlax!,""
5:30pm,Digimon Tamers,Guilmon Comes Alive,""
6:00pm,State of Grace,"Love, Love Me Do",""
6:30pm,The Zack Files,It's a Jungle in There,""
7:00pm,Screech Owls,Counterfeit Collectables,""
7:30pm,Grizzly Tales for Gruesome Kids,Glued to the Telly / The Broken Down Cottage,""
8:00pm,Dragon Ball Z,Android Explosion,""
8:30pm,Freaky Stories,Boys and Ghouls Together,""
9:00pm,The New Addams Family,Deadbeat Relatives,""
9:30pm,Breaker High,The Sun Ahso Shines,""
10:00pm,Radio Active,The Truth and Nothing But the Truth,""
10:30pm,Student Bodies,Date-a-Rama,""
11:00pm,Big Wolf on Campus,Mr. Roboto,""
11:30pm,Treasure,When Mum Met Brian / Grandma's Room,""
