Time,Show,Episode,Image
12:00am,Samurai Jack,Tale of X-49,""
12:30am,Spider-Man: The New Animated Series,When Sparks Fly,""
1:00am,Inuyasha,Assault on the Wolf-Demon Tribe!,""
1:30am,.hack//SIGN,Tempest,""
2:00am,ReBoot,The Crimson Binome,""
2:30am,Beasties: Transformers,Go with The Flow,""
3:00am,SD Gundam Force,Fenn's Disaster,""
3:30am,Dragon Ball GT,Bearded Guy Who Shook A Planet,""
4:00am,Teen Titans,Deception,""
4:30am,Transformers Energon,Distribution,""
5:00am,Hamtaro,Bijou's Favourite Ribbon,""
5:30am,Beyblade,Phoenix Falling,""
6:00am,Seven Little Monsters,Telling / Voyage,""
6:30am,Monster by Mistake,Night of the Living Meat,""
7:00am,Transformers Cybertron,Speed,""
7:30am,Battle B'Daman,With a Little Help from My Friends,""
8:00am,Yu-Gi-Oh!,Deja Duel! (Part 1),""
8:30am,Beyblade,Sibling Rivalry,""
9:00am,Jackie Chan Adventures,The Warrior Incarnate,""
9:30am,Xiaolin Showdown,Big As Texas,""
10:00am,Danny Phantom,What You Want,""
10:30am,Static Shock,Fallen Hero,""
11:00am,Teen Titans,The End (Part 2),""
11:30am,Shaman King,The Kung Fu-Master,""
12:00pm,Pokémon: Advanced Challenge,The Garden of Eatin,""
12:30pm,Sonic X,Techno-Teacher,""
1:00pm,Video & Arcade Top 10,Episode 32,""
1:30pm,Spy Academy,Mission Out of His League,""
2:00pm,Beyblade,Sibling Rivalry,""
2:30pm,Battle B'Daman,With a Little Help from My Friends,""
3:00pm,Transformers Energon,Distribution,""
3:30pm,Martin Mystery,Revenge of the Doppleganger,""
4:00pm,Hey Arnold: The Movie (2002),""
4:30pm
5:00pm
5:35pm,Jacob Two-Two,Jacob Two-Two and the Demon Drooler,""
6:05pm,Martin Mystery,The Vampire Returns,""
6:35pm,Being Ian,Greatest Story Never Told,""
7:05pm,Yvon of the Yukon,The Unfit Outfitters,""
7:35pm,Funpak,Winning Episode,""
8:05pm,Smallville,Phoenix,""
8:30pm
9:02pm,The Dark Crystal (1982),""
9:30pm
10:00pm
10:30pm
11:00pm,YTV's Hit List,"Season 14, Episode 20",""
11:30pm
