Time,Show,Episode,Image
12:00am,Gilmore Girls,The Break-Up,""
12:30am
1:10am,What I Like About You,Lunar Eclipse Of The Heart,""
1:45am,Vampire High,The Quivering,""
2:20am,Ready or Not,Under One Roof,""
3:00am,Fries with That?,"Peace, Love & Misunderstanding",""
3:30am,Dragon Ball,Pilaf And The Mystery Force,""
4:00am,Teen Titans,Birthmark,""
4:30am,Yu-Gi-Oh!,"Isolated In Cyberspace, Part 2",""
5:00am,Hamtaro,The Great Chicken Race,""
5:30am,Beyblade,Catch A Shooting All Star,""
6:00am,Seven Little Monsters,Losing Sam,""
6:30am,Hamtaro,Super Hamster Robo-Joe,""
7:00am,Stickin' Around,Bar None/All Washed,""
7:30am,Jacob Two-Two,Jacob Two-Two Time & The Colossal Candy Challenge,""
8:00am,SpongeBob SquarePants,Naughty Nautical Neighbours/Boating School,""
8:30am,Lazytown,Swiped Sweets,""
9:00am,Mona the Vampire,Horoscope/Rescue Of Queen Mab,""
9:30am,Monster By Mistake,Entertaining Orville,""
10:00am,Rupert,Rupert & The Nile,""
10:30am,Seven Little Monsters,Baby Makes 8/Your Lives,""
11:00am,Hamtaro,The Ham-Ham Wedding Rescue!,""
11:30am,Flying Rhino Junior High,Junior High Noon,""
12:00pm,"The Adventures of Jimmy Neutron, Boy Genius",Love Potion 9.368,""
12:30pm,Stickin' Around,Beware The Lunchwad/Madam Know,""
1:00pm,George Shrinks,Speed Shrinks,""
1:30pm,Care Bears,Turnabout/Cheer Of The Jungle,""
2:00pm,Mona the Vampire,Toon Town/Ghost In The Knight,""
2:30pm,Flying Rhino Junior High,Wag The Rat,""
3:00pm,Jacob Two-Two,Jacob Two-Two & The Fun Fair Fiasco,""
3:30pm,Martin Mystery,Attack Of The Sandman,""
4:00pm,"The Adventures of Jimmy Neutron, Boy Genius",Love Potion 9.368,""
4:30pm,Teen Titans,The Quest,""
5:00pm,The Fairly Oddparents,"Go Young, West Man / B'day Wish",""
5:30pm,All Grown Up,Tweenage Tycoons,""
6:00pm,SpongeBob SquarePants,Naughty Nautical Neighbours/Boating School,""
6:30pm,The Fairly Oddparents,Chip Off The Old Chip / Snowbound,""
7:00pm,Martin Mystery,Creeping Slime,""
7:30pm,Yu-Gi-Oh!,"Clash In The Colliseum, Part 1",""
8:00pm,Dragon Ball,Wedding Plans?,""
8:30pm,InuYasha,Tetsusaiga & Tenseiga,""
9:00pm,Mystery Hunters,Macbeth / Salem Witches,""
9:30pm,15/Love,The Princess & The Clown,""
10:00pm,Guinevere Jones,Choices,""
10:30pm,Fries With That?,Pass/Fail,""
11:00pm,Ready or Not,Crossing The Line,""
11:30pm,My Family,Owed To Susan,""
