Time,Show,Episode,Youtube Video ID
12:00am,G.I. Joe: The Movie (1987),,
12:30am,,,
1:00am,,,
1:30am,,,
2:00am,Superfriends,Brainchild / Case Of The Stolen Powers,
2:30am,Death Of Superman,,
3:00am,Teen Titans,X,
3:30am,X-Men: Evolution,Growing Pains,
4:00am,Xiaolin Showdown,Mala Mala Jong,
4:30am,Jackie Chan Adventures,The Good Guys,
5:00am,Duel Masters,Strange Twist Of Fate,
5:30am,Code Lyoko,Swarming Attack,
6:00am,Seven Little Monsters,Ear Spy / Zoom To The Moon,
6:30am,Monster by Mistake,Mine Your Own Business,
7:00am,Mona the Vampire,Whirling Void / No Place Like Gnome,
7:30am,Winx Club,Mission to Cloud Tower,
8:00am,Jacob Two Two,Jacob Two Two & The Dangerous Debut,
8:30am,All Grown Up,Truth Or Consequences,
9:00am,The Adventures of Jimmy Neutron: Boy Genius,Operation: Rescue Jet Fusion,
9:30am,,,
10:00am,The Fairly Oddparents,"Lights, Camera, Adam / Diary-Uh",
10:30am,Odd Jobs/Movie Magic,,
11:00am,Being Ian,Truth In Advertising,
11:30am,Catch Me If You Cane,,
12:00pm,Jimmy Neutron: Boy Genius (2001),,
12:30pm,,,
1:00pm,,,
1:30pm,,,
2:00pm,Beethoven's 2nd (1994),,
2:30pm,,,
3:00pm,,,
3:30pm,,,
4:00pm,Wizard Of Oz (1939),,
4:30pm,,,
5:00pm,,,
5:30pm,,,
6:00pm,,,
6:30pm,Garfield,Garfield Goes Hollywood,
7:00pm,Gilmore Girls,Hammers & Veils,
7:30pm,,,
8:00pm,YTV's Hit List,HIT024,
8:30pm,,,
9:00pm,Girlz TV,Episode 80,
9:30pm,Fries with That?,"Shake, Cattle & Roll",
10:00pm,15/Love,Seed-Y Reputation,
10:30pm,Radio Active,Ethan Without A Cause,
11:00pm,Ready or Not,The Worst Thing That Happend & The Best Thing That,
11:30pm,Double Talk,,
